model_id,matches,log_loss,brier,classwise_ece,score_matches,score_nll
M2-h120-r0.5,3040,0.977520738769692,0.5806045354776969,0.01782868623552731,3040,2.9818637923809366
M2-h120-r1,3040,0.9765126147738296,0.580156331747247,0.0164599737949703,3040,2.9766672133978296
M2-h120-r2,3040,0.9756500544952791,0.5797446062732584,0.015382424838775019,3040,2.970571947489914
M2-h120-r5,3040,0.9760702901140773,0.5800772438315754,0.011029422240682558,3040,2.963107155431385
M2-h120-r10,3040,0.9799074397530972,0.5825295004473401,0.018342840967005287,3040,2.962158302912644
M2-h120-r20,3040,0.9896589287695663,0.5890360407515556,0.035282093560709465,3040,2.971035472003917
M2-h240-r0.5,3040,0.9725548157390561,0.5772885766261209,0.012572426401984095,3040,2.9645704645430766
M2-h240-r1,3040,0.9719801198216412,0.5770314408619251,0.012390288104628996,3040,2.9617668774197536
M2-h240-r2,3040,0.9715260352380716,0.5768054014532451,0.01253009803430753,3040,2.9584780037500464
M2-h240-r5,3040,0.9717650477341254,0.5769965610366413,0.013918399386800662,3040,2.9541885305482767
M2-h240-r10,3040,0.9738295503324473,0.578315838166168,0.015740519489672377,3040,2.9529343862701065
M2-h240-r20,3040,0.9796495833343577,0.5820982341072799,0.025364476444269674,3040,2.957167437293093
M2-h365-r0.5,3040,0.9727589437176312,0.5774522591094697,0.01440882011217076,3040,2.9627379382370074
M2-h365-r1,3040,0.9722231370984377,0.5772004978400197,0.014467231441844714,3040,2.960295800348216
M2-h365-r2,3040,0.9717910096377801,0.5769694109930773,0.013178732063930654,3040,2.9575037483074307
M2-h365-r5,3040,0.9718307241806222,0.5770230048758128,0.013144085796013328,3040,2.953812650085522
M2-h365-r10,3040,0.9731820591711755,0.5778911595920572,0.014808562452162319,3040,2.9522670885646796
M2-h365-r20,3040,0.9773109978539766,0.5805495398777691,0.022456728501803393,3040,2.9545399028643953
M2-h540-r0.5,3040,0.9737507990396573,0.5781512377195847,0.01610740990517773,3040,2.963581214966821
M2-h540-r1,3040,0.9732212463282357,0.5778947334941841,0.017031613325183218,3040,2.9612717021105834
M2-h540-r2,3040,0.9727790566114263,0.5776484675670621,0.014569612314848133,3040,2.9586694222613614
M2-h540-r5,3040,0.9726742161645656,0.5776035868032313,0.01301596875358179,3040,2.955193547505989
M2-h540-r10,3040,0.9735951809878343,0.5782000661141707,0.015319922906408415,3040,2.9534097954068628
M2-h540-r20,3040,0.9766702373844713,0.5801708762612332,0.019520338329137858,3040,2.954440867471392
M2-h730-r0.5,3040,0.9746107900899957,0.5787534944275752,0.01633933333994634,3040,2.96479519619165
M2-h730-r1,3040,0.9740810240571226,0.5784928931209853,0.016072104230344438,3040,2.9625365006395694
M2-h730-r2,3040,0.9736291757305917,0.5782363334759824,0.01568690213593179,3040,2.960007128606967
M2-h730-r5,3040,0.9734468437466111,0.5781387417760131,0.015384172357007364,3040,2.9566092450480075
M2-h730-r10,3040,0.9741506890720137,0.5785983152383146,0.014923483538954412,3040,2.9546927786389494
M2-h730-r20,3040,0.9766826924919007,0.5802189167050072,0.0190067259898378,3040,2.9550781144316876
M2-prior-season-selection,3040,0.9728741096262877,0.5776105374798973,0.014738428161971868,3040,2.9571599612709605
market:bet365_preclosing,3040,0.9593803037900965,0.5682702849240132,0.013689302499993719,0,
market:betbrain_average_preclosing,380,0.8935632673946184,0.5223473511596992,0.047225525453366564,0,
market:market_average_closing,2660,0.9638784768420047,0.5716831154571406,0.012209465189212716,0,
market:market_average_preclosing,2660,0.9676615009323478,0.5744650528895741,0.011472856140895727,0,
