regime,slice,matches,outcome_log_loss,score_log_loss,mean_absolute_home_probability_change,max_absolute_home_probability_change
M5_team_only,all,40,0.9591147193069434,2.8564400933134944,0.0,0.0
M5_team_only,early_season,40,0.9591147193069434,2.8564400933134944,0.0,0.0
M5_team_only,goalkeeper_change,9,0.9718453201207231,2.899553524254897,0.0,0.0
M5_team_only,major_lineup_change,6,1.1413397628170445,2.8324823046801497,0.0,0.0
M5_team_only,newcomer_or_transfer,29,0.9782829845752421,2.928209591284121,0.0,0.0
M5_team_only,promoted_team,12,1.0203274340617317,2.8616816981630158,0.0,0.0
M5_team_only,returning_player,8,1.0563114388353458,2.8279389788648306,0.0,0.0
M6_deployable,all,40,0.9721188240716472,2.8856733260022738,0.017084090667593088,0.07850910413266798
M6_deployable,early_season,40,0.9721188240716472,2.8856733260022738,0.017084090667593088,0.07850910413266798
M6_deployable,goalkeeper_change,9,0.9759890362047765,2.924542024424529,0.014749039641699867,0.027913513294515968
M6_deployable,major_lineup_change,6,1.148955584781265,2.853738784033806,0.013781595298148023,0.02598894618539993
M6_deployable,newcomer_or_transfer,29,0.9909360609397228,2.9622105321455328,0.018044137106650256,0.07850910413266798
M6_deployable,promoted_team,12,1.0382429180673487,2.895315625753185,0.011446123780865555,0.021686183606165588
M6_deployable,returning_player,8,1.056467232844117,2.8563984320905966,0.01582841343371027,0.022937062125116925
M6_oracle_diagnostic,all,40,0.9519796882408045,2.865770031728167,0.01895676117804638,0.05635902687723193
M6_oracle_diagnostic,early_season,40,0.9519796882408045,2.865770031728167,0.01895676117804638,0.05635902687723193
M6_oracle_diagnostic,goalkeeper_change,9,0.9572656954397759,2.9126948868568174,0.02448219012806194,0.04121842644766405
M6_oracle_diagnostic,major_lineup_change,6,1.144013611185337,2.8549262380180553,0.019181123972802718,0.03759601883046751
M6_oracle_diagnostic,newcomer_or_transfer,29,0.9628704076154135,2.9352398143612692,0.01969866595908794,0.05635902687723193
M6_oracle_diagnostic,promoted_team,12,1.019782866636208,2.8793174912875337,0.021321191083954794,0.04121842644766405
M6_oracle_diagnostic,returning_player,8,1.0498292941135947,2.8548747390552767,0.024780485963031507,0.05635902687723193
