regime,slice,matches,outcome_log_loss,score_log_loss,mean_absolute_home_probability_change,max_absolute_home_probability_change,loss_difference_from_m5,paired_day_bootstrap_q025,paired_day_bootstrap_q975
M5_team_only,all,380,0.9819299870112262,2.9789341810071925,0.0,0.0,0.0,0.0,0.0
M5_team_only,early_season,50,0.9728931471343377,2.8428548695328497,0.0,0.0,0.0,0.0,0.0
M5_team_only,goalkeeper_change,73,0.8978141892091551,3.060471257400971,0.0,0.0,0.0,0.0,0.0
M5_team_only,major_lineup_change,144,0.9861336699657701,2.94137864558047,0.0,0.0,0.0,0.0,0.0
M5_team_only,newcomer_or_transfer,27,0.8926398538337112,2.7835064465227393,0.0,0.0,0.0,0.0,0.0
M5_team_only,promoted_team,108,0.802230837121747,2.9158792561894766,0.0,0.0,0.0,0.0,0.0
M5_team_only,returning_player,122,0.9883353484139384,3.061999097581644,0.0,0.0,0.0,0.0,0.0
M6_deployable,all,380,0.9842389664427518,2.9892474310277777,0.013130719438961012,0.04428939481306127,0.0023089794315253732,-0.0017145986508741214,0.006131335532320152
M6_deployable,early_season,50,0.9865681301528144,2.8695853790686257,0.012371514818174516,0.03251414360026372,0.0136749830184767,0.006961015963364018,0.0224823921189223
M6_deployable,goalkeeper_change,73,0.8972659371324464,3.068984654464728,0.013654589052543586,0.04428939481306127,-0.0005482520767087084,-0.01020166813573739,0.007671228282707303
M6_deployable,major_lineup_change,144,0.988680084117768,2.953655900504417,0.01386909746988301,0.04352412496252234,0.0025464141519978127,-0.003017999394565734,0.007830485990144137
M6_deployable,newcomer_or_transfer,27,0.9084891001396683,2.812261710411596,0.01122251019684133,0.027057453937912257,0.015849246305956934,0.007839228986037993,0.024406918525600077
M6_deployable,promoted_team,108,0.8092519503177021,2.9319295110697086,0.01288667119262058,0.030299444495314076,0.00702111319595516,0.0001361367594384884,0.012998500656946844
M6_deployable,returning_player,122,0.988027396271823,3.060389158106191,0.014779268223423712,0.04428939481306127,-0.00030795214211527035,-0.008871632992551283,0.007266548955101275
M6_oracle_diagnostic,all,380,0.983003550986235,2.986776089419441,0.01927572121192415,0.1239769353076634,0.001073563975008618,-0.004022528242589756,0.005957901579695736
M6_oracle_diagnostic,early_season,50,0.9699968701101775,2.855225362243795,0.018080434017612744,0.05635902687723193,-0.0028962770241602043,-0.015381942438869802,0.009180683595587815
M6_oracle_diagnostic,goalkeeper_change,73,0.8995678311883191,3.070145545551585,0.023634688573349997,0.07186074335398085,0.0017536419791639164,-0.01321530160042539,0.016872438073202326
M6_oracle_diagnostic,major_lineup_change,144,0.9873790759013177,2.950978644557503,0.019606520126657114,0.07186074335398085,0.001245405935547607,-0.007430210150144478,0.010027629094109482
M6_oracle_diagnostic,newcomer_or_transfer,27,0.8926536386047343,2.800862928595751,0.02157672352410594,0.07186074335398085,1.378477102301315e-05,-0.018189858023175853,0.022761821157985262
M6_oracle_diagnostic,promoted_team,108,0.8038302254846776,2.930392492364694,0.014161839514116344,0.05101216260901753,0.0015993883629307915,-0.0061579735802823445,0.009400886447855484
M6_oracle_diagnostic,returning_player,122,0.9877530731907821,3.06511759434956,0.019897518239048697,0.07186074335398085,-0.0005822752231563129,-0.009571762738687446,0.007898696906693302
