model_id,season_id,matches,log_loss,brier,classwise_ece,score_matches,score_nll
M2-attack-defense-v1,2015-2016,380,1.0415574288948186,0.6257400029209358,0.04705641178501109,380,2.942602635747774
M2-attack-defense-v1,2016-2017,380,0.9404794437006974,0.5556447673436258,0.048808006100265366,380,2.9233333170669527
M2-attack-defense-v1,2017-2018,380,0.9585758919593994,0.5688343156745029,0.03770453279707585,380,2.860282243988231
M2-attack-defense-v1,2018-2019,380,0.8937660416419912,0.5223126393489037,0.05071089166917976,380,2.893450603373663
M2-attack-defense-v1,2019-2020,380,0.9747777065063016,0.5791570651514537,0.0341225502804806,380,2.8620007358164146
M2-attack-defense-v1,2020-2021,380,1.0148869666835405,0.6044088918740159,0.051187141167202674,380,2.9902691199423796
M2-attack-defense-v1,2021-2022,380,0.954114822349993,0.5648469343518736,0.04331115703058781,380,2.9124395546661077
M2-attack-defense-v1,2022-2023,380,0.9959179313369595,0.594124735689793,0.04724029713024673,380,3.024806956843055
M2-attack-defense-v1,2023-2024,380,0.9293582222045591,0.547156497904164,0.027037016615429288,380,3.0857183931450884
M2-attack-defense-v1,2024-2025,380,0.9853308720339864,0.588490851437947,0.029677643413050975,380,2.9682847307178846
M2-attack-defense-v1,2025-2026,380,1.0264932306876462,0.6156864232483528,0.045048244805973775,380,2.8935311061795788
M5-quality-tilt-v1,2015-2016,380,1.0367963982207962,0.6223644230235502,0.047086746961232794,380,2.930046589369298
M5-quality-tilt-v1,2016-2017,380,0.9387750890241843,0.5538051468592845,0.04352874634602719,380,2.925312151930439
M5-quality-tilt-v1,2017-2018,380,0.9604249454841611,0.569523217958335,0.04829120477248535,380,2.8644149546541198
M5-quality-tilt-v1,2018-2019,380,0.8995141538706375,0.5261029356222797,0.05495043791214189,380,2.883451871385732
M5-quality-tilt-v1,2019-2020,380,0.975259616502255,0.5792508107503435,0.03417443970462759,380,2.8668664280258125
M5-quality-tilt-v1,2020-2021,380,1.017349815588237,0.6070455960122311,0.058392885164518155,380,2.9826091875381735
M5-quality-tilt-v1,2021-2022,380,0.9534840401662863,0.564055766817077,0.030665158314545554,380,2.918960064275824
M5-quality-tilt-v1,2022-2023,380,0.9883549419659228,0.5889319841534467,0.035176153155399945,380,3.005518106230547
M5-quality-tilt-v1,2023-2024,380,0.9288093214600279,0.5463324840818046,0.03140656775976212,380,3.069074234320991
M5-quality-tilt-v1,2024-2025,380,0.9849476339151336,0.5875908569868936,0.045262273281183346,380,2.967475150044114
M5-quality-tilt-v1,2025-2026,380,1.0333456342160816,0.6213784292044966,0.03799979095116837,380,2.89391181683139
M5-quality-tilt-poisson,2015-2016,380,1.0371775185985956,0.6226071296023368,0.04786505138318626,380,2.9302175205034198
M5-quality-tilt-poisson,2016-2017,380,0.9386352192938408,0.5536529521650991,0.042784560036811366,380,2.924283704653774
M5-quality-tilt-poisson,2017-2018,380,0.9605105818739931,0.5695302009032173,0.047476188166397384,380,2.8636850908056157
M5-quality-tilt-poisson,2018-2019,380,0.8990938414098983,0.5258480127457039,0.05492959914033603,380,2.881488692875412
M5-quality-tilt-poisson,2019-2020,380,0.9752513187884282,0.5792393301652811,0.03535180048589273,380,2.8637610450671493
M5-quality-tilt-poisson,2020-2021,380,1.01728581762674,0.6070139472402996,0.060180454787786844,380,2.983528296049442
M5-quality-tilt-poisson,2021-2022,380,0.953439664324122,0.5640023956715364,0.032821410491597376,380,2.9171733651048486
M5-quality-tilt-poisson,2022-2023,380,0.988402748340549,0.5889613158858464,0.03694353378952131,380,3.005946394804761
M5-quality-tilt-poisson,2023-2024,380,0.9287517553645074,0.5462650690965603,0.03100551855097355,380,3.0655443596824337
M5-quality-tilt-poisson,2024-2025,380,0.9850839379625548,0.58765090324303,0.04679723466348819,380,2.965567529172325
M5-quality-tilt-poisson,2025-2026,380,1.0336636616141357,0.6215510507875014,0.039657943368369225,380,2.8923185148261394
