model_id,event,matches,predicted,observed,binary_brier
M2-attack-defense-v1,p_draw,380,0.2354642600286256,0.2736842105263158,0.1992967121655097
M2-attack-defense-v1,p_scoreless,380,0.05966723854449236,0.07105263157894737,0.0665630722500417
M2-attack-defense-v1,p_total_goals_ge6,380,0.07672895973274665,0.042105263157894736,0.04218459063348881
M2-attack-defense-v1,p_both_score,380,0.5508979985549408,0.5605263157894737,0.2464589122695171
M5-quality-tilt-v1,p_draw,380,0.23409054870771961,0.2736842105263158,0.20029533172491526
M5-quality-tilt-v1,p_scoreless,380,0.06270022683285617,0.07105263157894737,0.06623899307439467
M5-quality-tilt-v1,p_total_goals_ge6,380,0.07805003111820005,0.042105263157894736,0.04170877092301865
M5-quality-tilt-v1,p_both_score,380,0.5389708521189754,0.5605263157894737,0.24632375560657171
M5-quality-tilt-poisson,p_draw,380,0.23280888088974452,0.2736842105263158,0.20040771340698418
M5-quality-tilt-poisson,p_scoreless,380,0.06042096503597003,0.07105263157894737,0.06628508704509131
M5-quality-tilt-poisson,p_total_goals_ge6,380,0.0753239434215469,0.042105263157894736,0.0415198052905325
M5-quality-tilt-poisson,p_both_score,380,0.5410842018761687,0.5605263157894737,0.2462476863234335
