model_id,slice,matches,log_loss,brier,classwise_ece,score_matches,score_nll
M2-attack-defense-v1,August-September,679,0.9658084808726108,0.5718533849051836,0.04169724714300252,679,2.931424272586704
M2-attack-defense-v1,Other months,3501,0.9757253052063571,0.5801041814135094,0.013273015045132616,3501,2.943477946289271
M5-quality-tilt-v1,August-September,679,0.9698034304279881,0.5750715164427909,0.03946117105026561,679,2.9290846640004604
M5-quality-tilt-v1,Other months,3501,0.9751462082538165,0.5794777114806762,0.015997233375801095,3501,2.938604662637571
M5-quality-tilt-poisson,August-September,679,0.969827369843047,0.5750565178437639,0.03987972632375274,679,2.927504957643098
M5-quality-tilt-poisson,Other months,3501,0.9751670153246416,0.5794741791592461,0.016044693920241625,3501,2.9373777917473745
