competition_id,model_id,origin,event,bin_lower,bin_upper,count,mean_prediction,observed_frequency
eng-championship,M2,MW12,title,0.2,0.3,5,0.25386000000000003,0.0
eng-championship,M2,MW12,title,0.3,0.4,7,0.3594714285714286,0.2857142857142857
eng-championship,M2,MW12,title,0.4,0.5,3,0.4652,0.3333333333333333
eng-championship,M2,MW12,title,0.5,0.6,0,,
eng-championship,M2,MW12,title,0.6,0.7,2,0.6431,0.5
eng-championship,M2,MW12,title,0.7,0.8,0,,
eng-championship,M2,MW12,title,0.8,0.9,0,,
eng-championship,M2,MW12,title,0.9,1.0,1,0.9279,1.0
eng-championship,M2,MW19,points_pit,0.0,0.1,45,0.0426455511211965,0.17045454545454544
eng-championship,M2,MW19,points_pit,0.1,0.2,23,0.1393182048688789,0.08712121212121213
eng-championship,M2,MW19,points_pit,0.2,0.3,27,0.2424385870065759,0.10227272727272728
eng-championship,M2,MW19,points_pit,0.3,0.4,20,0.33886964637034533,0.07575757575757576
eng-championship,M2,MW19,points_pit,0.4,0.5,19,0.4588018835755244,0.07196969696969698
eng-championship,M2,MW19,points_pit,0.5,0.6,25,0.5461798361940352,0.0946969696969697
eng-championship,M2,MW19,points_pit,0.6,0.7,20,0.6462892351738331,0.07575757575757576
eng-championship,M2,MW19,points_pit,0.7,0.8,17,0.7578919123688497,0.06439393939393939
eng-championship,M2,MW19,points_pit,0.8,0.9,22,0.855358403764572,0.08333333333333333
eng-championship,M2,MW19,points_pit,0.9,1.0,46,0.9591789265826854,0.17424242424242425
eng-championship,M2,MW19,rank_pit,0.0,0.1,39,0.04342489425051275,0.14772727272727273
eng-championship,M2,MW19,rank_pit,0.1,0.2,26,0.15412643182250135,0.09848484848484848
eng-championship,M2,MW19,rank_pit,0.2,0.3,25,0.253571207502137,0.0946969696969697
eng-championship,M2,MW19,rank_pit,0.3,0.4,31,0.36085037544752485,0.11742424242424243
eng-championship,M2,MW19,rank_pit,0.4,0.5,10,0.46679645329631203,0.03787878787878788
eng-championship,M2,MW19,rank_pit,0.5,0.6,25,0.5508025290159275,0.0946969696969697
eng-championship,M2,MW19,rank_pit,0.6,0.7,22,0.6478809108992286,0.08333333333333333
eng-championship,M2,MW19,rank_pit,0.7,0.8,20,0.7575904405896743,0.07575757575757576
eng-championship,M2,MW19,rank_pit,0.8,0.9,26,0.8571533849080318,0.09848484848484848
eng-championship,M2,MW19,rank_pit,0.9,1.0,40,0.9566982454528532,0.15151515151515152
eng-championship,M2,MW19,automatic_promotion,0.0,0.1,222,0.006694144144144144,0.0
eng-championship,M2,MW19,automatic_promotion,0.1,0.2,9,0.14362222222222223,0.3333333333333333
eng-championship,M2,MW19,automatic_promotion,0.2,0.3,5,0.25306,0.0
eng-championship,M2,MW19,automatic_promotion,0.3,0.4,2,0.33185,0.5
eng-championship,M2,MW19,automatic_promotion,0.4,0.5,6,0.43585,0.5
eng-championship,M2,MW19,automatic_promotion,0.5,0.6,5,0.5596599999999999,0.4
eng-championship,M2,MW19,automatic_promotion,0.6,0.7,4,0.6602250000000001,1.0
eng-championship,M2,MW19,automatic_promotion,0.7,0.8,5,0.74824,0.6
eng-championship,M2,MW19,automatic_promotion,0.8,0.9,2,0.8435,1.0
eng-championship,M2,MW19,automatic_promotion,0.9,1.0,4,0.9524500000000001,1.0
eng-championship,M2,MW19,playoff_qualification,0.0,0.1,144,0.02359652777777778,0.05555555555555555
eng-championship,M2,MW19,playoff_qualification,0.1,0.2,33,0.1389,0.24242424242424243
eng-championship,M2,MW19,playoff_qualification,0.2,0.3,25,0.24192799999999998,0.2
eng-championship,M2,MW19,playoff_qualification,0.3,0.4,21,0.35283809523809523,0.19047619047619047
eng-championship,M2,MW19,playoff_qualification,0.4,0.5,12,0.46314999999999995,0.3333333333333333
eng-championship,M2,MW19,playoff_qualification,0.5,0.6,19,0.5395578947368421,0.5789473684210527
eng-championship,M2,MW19,playoff_qualification,0.6,0.7,7,0.6426714285714284,0.2857142857142857
eng-championship,M2,MW19,playoff_qualification,0.7,0.8,3,0.7508333333333334,0.6666666666666666
eng-championship,M2,MW19,playoff_qualification,0.8,0.9,0,,
eng-championship,M2,MW19,playoff_qualification,0.9,1.0,0,,
eng-championship,M2,MW19,promotion,0.0,0.1,201,0.016649253731343284,0.024875621890547265
eng-championship,M2,MW19,promotion,0.1,0.2,15,0.14253999999999997,0.2
eng-championship,M2,MW19,promotion,0.2,0.3,9,0.23719999999999997,0.0
eng-championship,M2,MW19,promotion,0.3,0.4,7,0.3345714285714286,0.42857142857142855
eng-championship,M2,MW19,promotion,0.4,0.5,4,0.46457500000000007,0.5
