model_id,origin,metric,club_seasons,baseline,revised,change,max_absolute_club_change,clubs_changed
M2,preseason,rank_rps,264,0.1650713505072464,0.16299203296113307,-0.0020793175461133184,0.10020869565217395,56
M2,preseason,points_crps,264,8.123800263977273,8.29145405185606,0.1676537878787876,18.0,11
M2,preseason,points_error,264,0.11894886363636324,0.4295549242424237,0.31060606060606044,21.0,11
M2,preseason,rank_error,264,1.0765799026668185e-16,9.420074148334662e-17,-1.3457248783335231e-17,10.0,56
M2,preseason,coverage_90,264,0.7348484848484849,0.7310606060606061,-0.0037878787878787845,1.0,1
M2,preseason,rank_coverage_90,264,0.8333333333333334,0.8446969696969697,0.011363636363636354,1.0,3
M2,preseason,automatic_promotion_brier,264,0.07854997772727272,0.07855515181818182,5.174090909096374e-06,0.004252850000000086,20
M2,preseason,playoff_qualification_brier,264,0.14051671840909088,0.14053275409090907,1.6035681818182823e-05,0.00934339,24
M2,preseason,promotion_brier,264,0.10755842030303031,0.10761631371212121,5.789340909090335e-05,0.009840319999999958,252
M2,preseason,relegation_brier,264,0.11189168234848486,0.1065419981818182,-0.00534968416666666,1.0,31
M2,preseason,title_brier,264,0.046162652178030304,0.04616396339015151,1.3112121212063843e-06,0.001372149999999961,12
M7,preseason,rank_rps,264,0.15127555938405796,0.15007704710144926,-0.0011985122826086991,0.11644347826086951,56
M7,preseason,points_crps,264,7.554379242196969,7.731470908863637,0.17709166666666754,17.999200000000002,11
M7,preseason,points_error,264,0.30819999999999936,0.6188060606060599,0.31060606060606055,21.0,11
M7,preseason,rank_error,264,7.401486830834377e-17,-6.7286243916676156e-18,-8.074349270001139e-17,10.0,56
M7,preseason,coverage_90,264,0.8863636363636364,0.875,-0.011363636363636354,1.0,3
M7,preseason,rank_coverage_90,264,0.9431818181818182,0.9507575757575758,0.007575757575757569,1.0,4
M7,preseason,automatic_promotion_brier,264,0.06792926553030303,0.0679308437878788,1.5782575757683492e-06,0.002841629999999956,24
M7,preseason,playoff_qualification_brier,264,0.1352573746969697,0.13524058446969695,-1.679022727274493e-05,0.009334609999999998,24
M7,preseason,promotion_brier,264,0.09529950333333333,0.09548041386363636,0.00018091053030303006,0.03075620999999995,262
M7,preseason,relegation_brier,264,0.1026107134090909,0.09882815159090909,-0.0037825618181818177,0.9862000000000001,32
M7,preseason,title_brier,264,0.03904578272727272,0.03904639431818182,6.115909090970151e-07,0.0007027200000000455,19
M2,MW6,rank_rps,264,0.14359809015151515,0.14166460853754942,-0.0019334816139657263,0.2312869565217392,56
M2,MW6,points_crps,264,7.118821052121212,7.249683930909091,0.1308628787878794,18.0,11
M2,MW6,points_error,264,0.09129090909090858,0.40189696969696914,0.31060606060606055,21.0,11
M2,MW6,rank_error,264,-1.3457248783335231e-17,3.364312195833808e-17,4.710037074167331e-17,10.0,56
M2,MW6,coverage_90,264,0.7424242424242424,0.7424242424242424,0.0,1.0,4
M2,MW6,rank_coverage_90,264,0.8371212121212122,0.8409090909090909,0.0037878787878787845,1.0,7
M2,MW6,automatic_promotion_brier,264,0.05455043795454546,0.05455391287878788,3.4749242424220173e-06,0.0017809500000001144,16
M2,MW6,playoff_qualification_brier,264,0.13664715446969697,0.1366916659848485,4.4511515151529624e-05,0.010345120000000096,23
M2,MW6,promotion_brier,264,0.0820412181060606,0.08200919909090909,-3.2019015151513175e-05,0.013565999999999967,242
M2,MW6,relegation_brier,264,0.09992894537878788,0.09723917962121212,-0.0026897657575757628,1.0,29
M2,MW6,title_brier,264,0.03851714181818182,0.03851687121212122,-2.706060606011418e-07,0.0005386499999999739,10
M7,MW6,rank_rps,264,0.13549130370635706,0.13390176428277337,-0.0015895394235836968,0.12390434782608686,56
M7,MW6,points_crps,264,6.809126946250001,6.950884522007575,0.1417575757575742,17.999599999999994,11
M7,MW6,points_error,264,0.1991352272727278,0.5097412878787884,0.31060606060606055,21.0,11
M7,MW6,rank_error,264,2.0185873175002847e-17,-1.3457248783335231e-17,-3.364312195833808e-17,10.0,56
M7,MW6,coverage_90,264,0.8787878787878788,0.8674242424242424,-0.011363636363636354,1.0,3
M7,MW6,rank_coverage_90,264,0.9431818181818182,0.9393939393939394,-0.0037878787878787845,1.0,5
M7,MW6,automatic_promotion_brier,264,0.05549133666666667,0.055487366515151515,-3.970151515153564e-06,0.002658290000000063,19
M7,MW6,playoff_qualification_brier,264,0.13296976823863638,0.13295324672348485,-1.6521515151524113e-05,0.012269529999999999,23
M7,MW6,promotion_brier,264,0.08175707007575757,0.0822506125,0.0004935424242424324,0.03345176000000005,260
M7,MW6,relegation_brier,264,0.09364982727272726,0.09248036598484849,-0.001169461287878773,0.9946,31
M7,MW6,title_brier,264,0.03550931528409091,0.035509195890151515,-1.1939393939480736e-07,0.001274910000000018,16
M2,MW12,rank_rps,264,0.12451477409584981,0.1237776107394598,-0.0007371633563900137,0.08695652173913049,73
M2,MW12,points_crps,264,6.144980417272727,6.307751629393939,0.16277121212121237,17.99979999999999,11
M2,MW12,points_error,264,-0.045800000000000084,0.2420787878787878,0.2878787878787879,18.0,10
M2,MW12,rank_error,264,1.1438661465834946e-16,1.5475836100835516e-16,4.0371746350005706e-17,10.0,73
M2,MW12,coverage_90,264,0.7727272727272727,0.7689393939393939,-0.0037878787878787845,1.0,1
M2,MW12,rank_coverage_90,264,0.8560606060606061,0.8636363636363636,0.007575757575757569,1.0,2
M2,MW12,automatic_promotion_brier,264,0.04502886045454545,0.04502948265151514,6.221969696962315e-07,0.00010122999999995219,3
M2,MW12,playoff_qualification_brier,264,0.1294855193939394,0.12949538492424245,9.865530303049264e-06,0.00399410999999994,38
M2,MW12,promotion_brier,264,0.07168547795454545,0.0717020656060606,1.658765151514585e-05,0.014366640000000097,237
M2,MW12,relegation_brier,264,0.08887228037878787,0.09168153075757576,0.002809250378787889,1.0,45
M2,MW12,title_brier,264,0.02963226765151515,0.029631798560606062,-4.6909090908875406e-07,0.00012383000000004696,2
M7,MW12,rank_rps,264,0.11825892366189066,0.11766484222249672,-0.0005940814393939342,0.08634782608695646,73
M7,MW12,points_crps,264,5.892046987575759,6.064155320909092,0.17210833333333309,17.9988,11
M7,MW12,points_error,264,0.023097727272727242,0.3109765151515151,0.28787878787878785,18.0,10
M7,MW12,rank_error,264,1.0429367807084804e-16,7.065055611250996e-17,-3.3643121958338084e-17,10.0,73
M7,MW12,coverage_90,264,0.875,0.8674242424242424,-0.007575757575757569,1.0,2
M7,MW12,rank_coverage_90,264,0.9393939393939394,0.9356060606060606,-0.0037878787878788955,1.0,3
M7,MW12,automatic_promotion_brier,264,0.044321125303030305,0.044318685378787886,-2.439924242418623e-06,0.0006180500000000366,22
M7,MW12,playoff_qualification_brier,264,0.12723667507575756,0.12721476681818183,-2.1908257575725676e-05,0.006641549999999996,46
M7,MW12,promotion_brier,264,0.07028906765151514,0.07068253356060605,0.0003934659090909093,0.04156235000000008,261
M7,MW12,relegation_brier,264,0.08332012513257575,0.08578086581439394,0.002460740681818188,0.99,51
M7,MW12,title_brier,264,0.028390203484848484,0.028389607348484846,-5.961363636376726e-07,0.00016495000000005255,8
M2,MW19,rank_rps,264,0.10079581172677865,0.09931022534173255,-0.0014855863850461032,0.24664347826086958,71
M2,MW19,points_crps,264,4.882516167310606,5.000114652159091,0.11759848484848501,17.998999999999995,10
M2,MW19,points_error,264,-0.016498106060605734,0.21456250000000032,0.23106060606060605,18.0,8
M2,MW19,rank_error,264,-4.0371746350005693e-17,-9.420074148334662e-17,-5.3828995133340925e-17,10.0,71
M2,MW19,coverage_90,264,0.8143939393939394,0.8068181818181818,-0.00757575757575768,1.0,4
M2,MW19,rank_coverage_90,264,0.8901515151515151,0.9015151515151515,0.011363636363636354,1.0,5
M2,MW19,automatic_promotion_brier,264,0.029509306136363635,0.029509306136363635,0.0,0.0,0
M2,MW19,playoff_qualification_brier,264,0.12162535113636365,0.12167127681818182,4.592568181817358e-05,0.007084240000000019,21
M2,MW19,promotion_brier,264,0.05918141257575758,0.05921083431818182,2.9421742424234898e-05,0.015987510000000094,216
M2,MW19,relegation_brier,264,0.07435979106060604,0.07073062992424244,-0.0036291611363636067,0.9985999999999999,43
M2,MW19,title_brier,264,0.020801922196969694,0.020801922196969694,0.0,0.0,0
M7,MW19,rank_rps,264,0.09799405652750329,0.09661073379693676,-0.0013833227305665302,0.19602608695652168,73
M7,MW19,points_crps,264,4.773618229621212,4.896040199318182,0.12242196969696995,17.9936,11
M7,MW19,points_error,264,0.04776893939393949,0.2788295454545455,0.23106060606060602,18.0,8
M7,MW19,rank_error,264,4.710037074167331e-17,1.278438634416847e-16,8.074349270001139e-17,10.0,73
M7,MW19,coverage_90,264,0.8901515151515151,0.8825757575757576,-0.007575757575757569,1.0,2
M7,MW19,rank_coverage_90,264,0.9431818181818182,0.9507575757575758,0.007575757575757569,1.0,2
M7,MW19,automatic_promotion_brier,264,0.029587881515151515,0.029587941742424243,6.022727272805839e-08,0.00011528999999999706,9
M7,MW19,playoff_qualification_brier,264,0.11845132236742424,0.11846648448863635,1.5162121212108914e-05,0.008933160000000051,28
M7,MW19,promotion_brier,264,0.05838546840909091,0.0584763478030303,9.08793939393901e-05,0.039969790000000005,247
M7,MW19,relegation_brier,264,0.07199145348484848,0.06928988303030302,-0.002701570454545457,0.9908,47
M7,MW19,title_brier,264,0.020633163712121212,0.020633163712121212,0.0,0.0,0
M2,MW30,rank_rps,264,0.06344850961956522,0.06334057064640974,-0.00010793897315547474,0.2631478260869565,67
M2,MW30,points_crps,264,3.2183679152272724,3.3452383697727273,0.12687045454545487,17.7694,11
M2,MW30,points_error,264,0.018248484848484643,0.2493090909090907,0.23106060606060605,18.0,8
M2,MW30,rank_error,264,-3.027880976250427e-17,-3.700743415417188e-17,-6.7286243916676156e-18,10.0,67
M2,MW30,coverage_90,264,0.8598484848484849,0.8484848484848485,-0.011363636363636354,1.0,5
M2,MW30,rank_coverage_90,264,0.9128787878787878,0.9204545454545454,0.007575757575757569,1.0,8
M2,MW30,automatic_promotion_brier,264,0.02717710409090909,0.02717710409090909,0.0,0.0,0
M2,MW30,playoff_qualification_brier,264,0.09479843778409092,0.09479739520833333,-1.0425757575871497e-06,0.0006251200000000345,16
M2,MW30,promotion_brier,264,0.04498125659090909,0.0449308371969697,-5.041939393939099e-05,0.013588240000000085,185
M2,MW30,relegation_brier,264,0.04962684030303031,0.05765771280303031,0.008030872500000001,0.968,36
M2,MW30,title_brier,264,0.013671693712121213,0.013671693712121213,0.0,0.0,0
M7,MW30,rank_rps,264,0.0630749218511199,0.06293487445816863,-0.000140047392951273,0.234695652173913,70
M7,MW30,points_crps,264,3.1950420952651517,3.3246496710227276,0.12960757575757587,17.7178,11
M7,MW30,points_error,264,0.04693068181818216,0.2779912878787882,0.23106060606060602,18.0,9
M7,MW30,rank_error,264,-5.3828995133340925e-17,-2.6914497566670462e-17,2.6914497566670462e-17,10.0,70
M7,MW30,coverage_90,264,0.8939393939393939,0.8825757575757576,-0.011363636363636354,1.0,5
M7,MW30,rank_coverage_90,264,0.9507575757575758,0.9507575757575758,0.0,1.0,6
M7,MW30,automatic_promotion_brier,264,0.027778293106060607,0.027778293106060607,0.0,0.0,0
M7,MW30,playoff_qualification_brier,264,0.09414867757575758,0.09414929484848485,6.172727272657497e-07,0.001148129999999914,20
M7,MW30,promotion_brier,264,0.045392193787878794,0.04576313098484849,0.0003709371969696923,0.03757056000000003,207
M7,MW30,relegation_brier,264,0.047763328636363636,0.056426127954545456,0.00866279931818182,0.9504,39
M7,MW30,title_brier,264,0.013390903030303028,0.013390903030303028,0.0,0.0,0
