model_id,origin,metric,difference_vs_M2,season_cluster_ci_low,season_cluster_ci_high,club_seasons,seasons
M7,preseason,rank_rps,-0.013795791123188406,-0.01963453504574276,-0.007352126418190056,264,11
M7,preseason,points_crps,-0.5694210217803034,-0.8910400035047367,-0.22559444146780339,264,11
M7,preseason,automatic_promotion_brier,-0.010620712196969695,-0.019515961155303026,-0.001296509831439393,264,11
M7,preseason,playoff_qualification_brier,-0.00525934371212121,-0.010473190882575754,-0.0003308128787878736,264,11
M7,preseason,promotion_brier,-0.01225891696969697,-0.02437642945454545,-0.0006512790151515164,264,11
M7,preseason,relegation_brier,-0.009280968939393942,-0.01946065972159091,0.0010106642367424153,264,11
M7,preseason,title_brier,-0.007116869450757577,-0.011002368757575756,-0.003663281429924245,264,11
M7,MW6,rank_rps,-0.008106786445158099,-0.011140158252161556,-0.004913335924530629,264,11
M7,MW6,points_crps,-0.3096941058712124,-0.4698874994308721,-0.1450630915871206,264,11
M7,MW6,automatic_promotion_brier,0.000940898712121213,-0.005947940611742422,0.009154285693181816,264,11
M7,MW6,playoff_qualification_brier,-0.0036773862310606033,-0.010041682617424236,0.0026572522405303024,264,11
M7,MW6,promotion_brier,-0.00028414803030303283,-0.007444160308712127,0.007404653937499993,264,11
M7,MW6,relegation_brier,-0.0062791181060606075,-0.014232261109848491,0.0016908116022727262,264,11
M7,MW6,title_brier,-0.003007826534090909,-0.00563460129403409,-0.0003943580530303061,264,11
M7,MW12,rank_rps,-0.006255850433959154,-0.009297434218729412,-0.0026860585616559573,264,11
M7,MW12,points_crps,-0.25293342969696914,-0.38798330780303014,-0.1088970931439387,264,11
M7,MW12,automatic_promotion_brier,-0.0007077351515151482,-0.005671761482954542,0.004836865367424239,264,11
M7,MW12,playoff_qualification_brier,-0.0022488443181818184,-0.007211846613636365,0.0023328520492424247,264,11
M7,MW12,promotion_brier,-0.0013964103030302993,-0.007050343969696966,0.004499391198863635,264,11
M7,MW12,relegation_brier,-0.005552155246212122,-0.011880519098958335,0.0009999870492424245,264,11
M7,MW12,title_brier,-0.0012420641666666674,-0.0037676250397727287,0.0015023828882575723,264,11
M7,MW19,rank_rps,-0.002801755199275359,-0.005327364697196146,-0.0005446180101284548,264,11
M7,MW19,points_crps,-0.10889793768939399,-0.22371306316098333,0.005760071915719951,264,11
M7,MW19,automatic_promotion_brier,7.857537878787835e-05,-0.0036716031515151536,0.0038833984715909054,264,11
M7,MW19,playoff_qualification_brier,-0.0031740287689393954,-0.010826848007575754,0.00430769924810605,264,11
M7,MW19,promotion_brier,-0.0007959441666666672,-0.003915689848484852,0.002444993931818177,264,11
M7,MW19,relegation_brier,-0.0023683375757575765,-0.006159303350378786,0.0017876547291666648,264,11
M7,MW19,title_brier,-0.0001687584848484861,-0.0020910345189393944,0.0016844487840909077,264,11
M7,MW30,rank_rps,-0.0003735877684453239,-0.001244064787755272,0.0005197577788208167,264,11
M7,MW30,points_crps,-0.023325819962120985,-0.07622035085700714,0.028055968309659056,264,11
M7,MW30,automatic_promotion_brier,0.0006011890151515165,-0.001554001818181816,0.0023450883295454564,264,11
M7,MW30,playoff_qualification_brier,-0.0006497602083333325,-0.0034085679356060583,0.0020989464910037853,264,11
M7,MW30,promotion_brier,0.0004109371969696984,-0.0013218517462121207,0.0021181885757575766,264,11
M7,MW30,relegation_brier,-0.0018635116666666648,-0.0042115126212121205,0.0004195002803030306,264,11
M7,MW30,title_brier,-0.0002807906818181829,-0.0022552816988636367,0.0012893114393939381,264,11
