season_id,competition_id,model_id,origin,club_seasons,seasons,points_bias,points_rmse,promoted_club_seasons,promoted_points_bias,promoted_overpredicted,rank_rps,rank_sd,points_crps,points_sd,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,rank_coverage_50,rank_width_50,rank_coverage_80,rank_width_80,rank_coverage_90,rank_width_90,rank_coverage_95,rank_width_95,automatic_promotion_brier,playoff_qualification_brier,promotion_brier,relegation_brier,title_brier
2015-2016,eng-championship,M2,MW12,24,1,0.639095833333335,8.984681441046384,6,-3.3002499999999997,2,0.08632301459239132,3.824691114235535,5.17975853875,7.402315965184468,0.4166666666666667,9.958333333333334,0.6666666666666666,19.125,0.875,24.208333333333332,0.875,29.0,0.5833333333333334,5.375,0.875,9.833333333333334,0.9583333333333334,12.291666666666666,1.0,14.25,0.057145605833333335,0.10640471,0.05449423583333333,0.0894605,0.03620521000000001
2015-2016,eng-championship,M2,MW19,24,1,0.5080375000000016,7.04138515962946,6,-3.460199999999999,3,0.06602767864130435,2.9614181065997176,4.048265765416666,6.50838722732383,0.4583333333333333,8.625,0.7916666666666666,16.583333333333332,0.9166666666666666,21.458333333333332,0.9166666666666666,25.291666666666668,0.5833333333333334,4.0,0.9166666666666666,7.416666666666667,0.9583333333333334,9.625,1.0,11.083333333333334,0.06403698333333332,0.09733578833333334,0.05754598666666666,0.07075693666666666,0.0487630225
2015-2016,eng-championship,M2,MW30,24,1,0.19107083333333316,5.320421283170788,6,0.08356666666666494,4,0.0488526386231884,2.1909027854825553,3.0340569612500006,4.865073708861214,0.5833333333333334,6.666666666666667,0.6666666666666666,12.541666666666666,0.8333333333333334,16.083333333333332,0.9166666666666666,18.916666666666668,0.625,2.875,0.875,5.541666666666667,0.9583333333333334,7.125,1.0,8.291666666666666,0.05448246833333333,0.06563708666666668,0.01458023583333333,0.05786319333333334,0.052226160833333334
2015-2016,eng-championship,M2,MW6,24,1,0.8742458333333335,10.943084149875206,6,-2.619233333333335,2,0.10546168184782607,4.145561042284755,6.350566370416665,7.938188520429534,0.375,10.708333333333334,0.7083333333333334,20.375,0.75,26.083333333333332,0.875,31.083333333333332,0.5416666666666666,5.708333333333333,0.7916666666666666,10.875,0.875,13.416666666666666,0.9583333333333334,15.416666666666666,0.03761060499999999,0.11478186000000001,0.052386455,0.15203486333333333,0.031062948333333337
2015-2016,eng-championship,M2,preseason,24,1,1.2488041666666667,12.847406639911808,6,-0.1442500000000019,3,0.12570829007246376,5.017072318639407,7.447228642083329,8.661368692327292,0.4166666666666667,11.791666666666666,0.6666666666666666,22.333333333333332,0.7083333333333334,28.541666666666668,0.8333333333333334,33.875,0.5,7.25,0.8333333333333334,13.25,0.9166666666666666,16.166666666666668,1.0,18.291666666666668,0.054351585,0.14558609250000001,0.08754902416666667,0.1300757175,0.03331432333333333
2015-2016,eng-championship,M7,MW12,24,1,0.7316666666666661,9.497157236554175,6,-3.32915,2,0.09309320857789856,4.763854168559721,5.417126778333334,9.512548034062723,0.5,12.791666666666666,0.875,24.5,0.875,31.25,0.9583333333333334,37.041666666666664,0.6666666666666666,6.833333333333333,0.9583333333333334,12.666666666666666,1.0,15.208333333333334,1.0,17.333333333333332,0.05524104083333334,0.10887248166666667,0.06701909166666666,0.08143479395833332,0.0349145025
2015-2016,eng-championship,M7,MW19,24,1,0.5850125,7.1589165367102385,6,-3.5174333333333316,2,0.06689734598731885,3.652586412061566,4.072313530416669,7.8944551633285345,0.5833333333333334,10.708333333333334,0.9166666666666666,20.458333333333332,0.9166666666666666,26.0,0.9583333333333334,30.875,0.7083333333333334,5.208333333333333,0.9583333333333334,9.416666666666666,1.0,11.625,1.0,13.666666666666666,0.05541420249999999,0.08983384999999999,0.06218547416666667,0.06537301,0.04601550833333334
2015-2016,eng-championship,M7,MW30,24,1,0.21261250000000023,5.335625724044305,6,-0.2765333333333331,4,0.04912082707427536,2.476049993351213,3.02091270125,5.42843833088417,0.5833333333333334,7.458333333333333,0.75,14.125,0.875,17.958333333333332,0.9583333333333334,20.875,0.7083333333333334,3.2916666666666665,1.0,6.208333333333333,1.0,8.0,1.0,9.541666666666666,0.046492245833333334,0.0626485375,0.019589709999999993,0.05396587249999999,0.04386643083333333
2015-2016,eng-championship,M7,MW6,24,1,1.027970833333334,11.282585956076293,6,-2.0751666666666693,2,0.10827623800724638,5.30979357563402,6.357435536250001,10.728727514864497,0.5,14.708333333333334,0.7916666666666666,27.541666666666668,0.9166666666666666,35.375,0.9583333333333334,41.666666666666664,0.75,8.041666666666666,0.875,14.041666666666666,0.9583333333333334,16.958333333333332,1.0,19.0,0.04444175,0.121822835,0.06465831916666669,0.12602754833333332,0.033150909166666666
2015-2016,eng-championship,M7,preseason,24,1,1.4450583333333331,13.378381261230121,6,-0.7982333333333335,3,0.1312621772826087,6.066338029325245,7.450912525833335,12.700266431546565,0.5,17.25,0.8333333333333334,32.833333333333336,0.9166666666666666,41.75,0.9166666666666666,49.666666666666664,0.6666666666666666,9.791666666666666,0.9166666666666666,16.416666666666668,0.9583333333333334,19.041666666666668,1.0,20.75,0.060196760833333335,0.13633636250000003,0.08961251166666666,0.10538872166666668,0.0358424575
