entry_cohort,competition_id,model_id,origin,club_seasons,seasons,points_bias,points_rmse,promoted_club_seasons,promoted_points_bias,promoted_overpredicted,rank_rps,rank_sd,points_crps,points_sd,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,rank_coverage_50,rank_width_50,rank_coverage_80,rank_width_80,rank_coverage_90,rank_width_90,rank_coverage_95,rank_width_95,automatic_promotion_brier,playoff_qualification_brier,promotion_brier,relegation_brier,title_brier
incumbent,eng-championship,M2,MW12,198,11,0.3237616161616159,10.495701565903303,0,,0,0.11970388976394379,4.121822995953738,5.996670602929293,7.3503106498246,0.398989898989899,9.93939393939394,0.6818181818181818,18.939393939393938,0.7828282828282829,24.13131313131313,0.8535353535353535,28.752525252525253,0.51010101010101,5.893939393939394,0.7525252525252525,10.722222222222221,0.8939393939393939,13.323232323232324,0.9444444444444444,15.272727272727273,0.028405575252525243,0.1320822751010101,0.05664195363636363,0.07079593084595959,0.01977891994949495
incumbent,eng-championship,M2,MW19,198,11,0.3357146464646468,8.76245671790057,0,,0,0.10141013222002636,3.481851373581309,4.992283161969697,6.543447787744069,0.41414141414141414,8.833333333333334,0.6919191919191919,16.78787878787879,0.8131313131313131,21.535353535353536,0.8838383838383839,25.555555555555557,0.494949494949495,4.853535353535354,0.7878787878787878,8.95959595959596,0.9191919191919192,11.267676767676768,0.9444444444444444,12.94949494949495,0.016630675303030303,0.11908957247474747,0.05054562636363637,0.05418424545454546,0.01482124
incumbent,eng-championship,M2,MW30,198,11,0.5442752525252524,5.901696782791378,0,,0,0.06449170678304787,2.545287372011748,3.3009533515656573,4.971695941643017,0.5050505050505051,6.828282828282828,0.7878787878787878,12.863636363636363,0.8535353535353535,16.338383838383837,0.9141414141414141,19.3989898989899,0.5858585858585859,3.404040404040404,0.8636363636363636,6.46969696969697,0.9343434343434344,8.151515151515152,0.9747474747474747,9.626262626262626,0.01700412212121212,0.08892717063131313,0.045792591616161615,0.04126707227272728,0.010167374292929292
incumbent,eng-championship,M2,MW6,198,11,0.3503626262626259,12.276430019403572,0,,0,0.13809477035518228,4.48374503800282,6.973664861313131,7.993126744939127,0.398989898989899,10.792929292929292,0.6616161616161617,20.565656565656564,0.7575757575757576,26.282828282828284,0.8333333333333334,31.237373737373737,0.4696969696969697,6.525252525252525,0.7373737373737373,11.762626262626263,0.8636363636363636,14.454545454545455,0.9040404040404041,16.525252525252526,0.042988084797979796,0.13819745166666667,0.06992922792929293,0.0834821270707071,0.0261976148989899
incumbent,eng-championship,M2,preseason,198,11,0.34313636363636324,13.480806317749199,0,,0,0.15626442871815985,5.060613918910025,7.667921508585857,8.589727526527009,0.35353535353535354,11.651515151515152,0.6717171717171717,22.055555555555557,0.7626262626262627,28.232323232323232,0.8181818181818182,33.621212121212125,0.45454545454545453,7.5353535353535355,0.7575757575757576,13.373737373737374,0.8787878787878788,16.21212121212121,0.9191919191919192,18.267676767676768,0.05350544141414141,0.14485581005050507,0.08241564232323231,0.08961850489898988,0.026706095227272724
incumbent,eng-championship,M7,MW12,198,11,0.5924181818181815,10.466407479781603,0,,0,0.11661999628513395,4.870963768991249,5.871306397272727,9.18768124341349,0.4797979797979798,12.5,0.7676767676767676,23.666666666666668,0.8787878787878788,30.227272727272727,0.9191919191919192,35.86868686868687,0.5757575757575758,7.156565656565657,0.8686868686868687,12.83838383838384,0.9393939393939394,15.676767676767676,0.9797979797979798,17.641414141414142,0.03021092474747475,0.12707933949494948,0.057858447171717176,0.06944865172979799,0.019240992979797977
incumbent,eng-championship,M7,MW19,198,11,0.5394196969696967,8.733869727099751,0,,0,0.09945982200263503,4.036625626395938,4.899031280959595,7.810790253908247,0.4898989898989899,10.691919191919192,0.7828282828282829,20.13131313131313,0.8787878787878788,25.681818181818183,0.9292929292929293,30.414141414141415,0.5909090909090909,5.782828282828283,0.8737373737373737,10.43939393939394,0.9444444444444444,13.005050505050505,0.9696969696969697,14.878787878787879,0.017286820707070705,0.11667911521464648,0.050300619747474754,0.05372408530303029,0.0142882751010101
incumbent,eng-championship,M7,MW30,198,11,0.6255616161616164,5.912600802959009,0,,0,0.06439737212725077,2.8040701271533313,3.297770653939394,5.501104242528334,0.5202020202020202,7.515151515151516,0.803030303030303,14.186868686868687,0.8939393939393939,18.1010101010101,0.9545454545454546,21.41919191919192,0.6313131313131313,3.813131313131313,0.898989898989899,7.151515151515151,0.9646464646464646,9.04040404040404,0.98989898989899,10.55050505050505,0.01767705358585859,0.08760901656565658,0.04537181691919191,0.041979407929292924,0.01055337505050505
incumbent,eng-championship,M7,MW6,198,11,0.6763055555555562,12.17986872749622,0,,0,0.13323144434727713,5.348548871668315,6.7632204783333325,10.43481317050993,0.48484848484848486,14.186868686868687,0.7727272727272727,26.873737373737374,0.8636363636363636,34.333333333333336,0.9141414141414141,40.66161616161616,0.5707070707070707,8.141414141414142,0.8434343434343434,14.212121212121213,0.9343434343434344,17.17676767676768,0.9797979797979798,19.141414141414142,0.04267891555555556,0.13204621431818184,0.07025708292929293,0.08164712020202021,0.024251002133838382
incumbent,eng-championship,M7,preseason,198,11,0.7292272727272724,13.322130942264012,0,,0,0.14652939279918753,5.823549394289286,7.345631093636363,11.710443237103075,0.5303030303030303,15.919191919191919,0.7929292929292929,30.126262626262626,0.8686868686868687,38.515151515151516,0.9090909090909091,45.72222222222222,0.5303030303030303,9.1010101010101,0.8333333333333334,15.757575757575758,0.9494949494949495,18.62121212121212,0.9696969696969697,20.474747474747474,0.049820695101010094,0.13626541893939395,0.07797329454545454,0.08682731661616161,0.024414631060606058
promoted_from_lower,eng-championship,M2,MW12,33,11,0.6349212121212118,10.87858648633204,33,0.6349212121212118,17,0.1456731769894598,3.39565305564195,6.424012940606062,7.176490059005483,0.2727272727272727,9.636363636363637,0.6666666666666666,18.393939393939394,0.7878787878787878,23.666666666666668,0.8181818181818182,28.03030303030303,0.2727272727272727,4.545454545454546,0.6666666666666666,8.484848484848484,0.7575757575757576,10.696969696969697,0.8484848484848485,12.484848484848484,0.010771166666666663,0.029795759090909094,0.017881587575757578,0.23729076401515153,0.0037936893939393944
promoted_from_lower,eng-championship,M2,MW19,33,11,-0.6446787878787879,7.976868944148524,33,-0.6446787878787879,16,0.09367257826416338,3.0874999328714643,4.467741326060606,6.407686312421821,0.5151515151515151,8.787878787878787,0.7575757575757576,16.454545454545453,0.8484848484848485,21.12121212121212,0.9393939393939394,25.151515151515152,0.5454545454545454,4.2727272727272725,0.8181818181818182,7.878787878787879,0.8484848484848485,9.757575757575758,0.8787878787878788,11.242424242424242,0.008240096666666669,0.03624859696969697,0.010962803636363639,0.1757236590909091,0.0015444127272727275
promoted_from_lower,eng-championship,M2,MW30,33,11,-1.1705696969696975,6.086785937611329,33,-1.1705696969696975,17,0.0666943904776021,2.252315049353529,3.5162994709090922,4.859385411945717,0.5151515151515151,6.575757575757576,0.6666666666666666,12.424242424242424,0.8484848484848485,15.93939393939394,0.8787878787878788,18.90909090909091,0.5151515151515151,2.9393939393939394,0.7272727272727273,5.575757575757576,0.8484848484848485,7.212121212121212,0.8787878787878788,8.454545454545455,0.021786403636363638,0.03378672212121213,0.012532717575757578,0.1757125584848485,5.666666666666666e-08
promoted_from_lower,eng-championship,M2,MW6,33,11,2.2122575757575746,12.132101900018158,33,2.2122575757575746,18,0.1559727777075099,3.9043757504045025,7.090519866969697,7.836721437318248,0.36363636363636365,10.575757575757576,0.5757575757575758,20.12121212121212,0.7575757575757576,25.666666666666668,0.8787878787878788,30.727272727272727,0.3333333333333333,5.454545454545454,0.6666666666666666,10.030303030303031,0.7878787878787878,12.424242424242424,0.8787878787878788,14.212121212121213,0.015558758181818184,0.03872883696969697,0.020176073333333332,0.18449848272727273,0.006971111212121212
promoted_from_lower,eng-championship,M2,preseason,33,11,3.7170757575757567,13.104867904586703,33,3.7170757575757567,24,0.16015372339591566,4.998409069290547,7.387638856060606,8.535133927436032,0.3939393939393939,11.484848484848484,0.7272727272727273,22.03030303030303,0.8181818181818182,28.09090909090909,0.8181818181818182,33.42424242424242,0.5151515151515151,7.393939393939394,0.7272727272727273,13.242424242424242,0.8484848484848485,15.93939393939394,0.9393939393939394,17.90909090909091,0.027235244848484847,0.03413973515151515,0.026322211515151517,0.22641158969696973,5.993151515151515e-05
promoted_from_lower,eng-championship,M7,MW12,33,11,1.0020303030303035,9.711157826953487,33,1.0020303030303035,18,0.12095060076745717,4.822325996904228,5.584429859393941,10.004244261163553,0.42424242424242425,13.545454545454545,0.8181818181818182,25.90909090909091,0.9393939393939394,32.93939393939394,0.9696969696969697,39.03030303030303,0.5454545454545454,6.909090909090909,0.8787878787878788,12.454545454545455,0.9393939393939394,15.303030303030303,1.0,17.151515151515152,0.014270673636363636,0.03571114454545454,0.013854120303030305,0.20294256886363637,0.0009293715151515153
promoted_from_lower,eng-championship,M7,MW19,33,11,-0.1566272727272719,7.580241658396979,33,-0.1566272727272719,17,0.08826160533267458,3.943268070637022,4.275754891212122,8.161761209765917,0.6060606060606061,11.151515151515152,0.9090909090909091,21.12121212121212,0.9090909090909091,26.848484848484848,0.9696969696969697,31.78787878787879,0.6060606060606061,5.515151515151516,0.8787878787878788,10.06060606060606,0.9696969696969697,12.424242424242424,0.9696969696969697,14.484848484848484,0.010139670606060608,0.040015582121212125,0.009513113030303028,0.169183316969697,0.0010800266666666667
promoted_from_lower,eng-championship,M7,MW30,33,11,-0.872618181818182,5.9904391115419,33,-0.872618181818182,16,0.06457239814229249,2.603105815336293,3.4145093757575755,5.532625713585956,0.5454545454545454,7.666666666666667,0.7878787878787878,14.181818181818182,0.8484848484848485,18.21212121212121,0.9393939393939394,21.454545454545453,0.5757575757575758,3.4545454545454546,0.8484848484848485,6.545454545454546,0.8787878787878788,8.303030303030303,0.9393939393939394,9.848484848484848,0.023353559090909092,0.0381224206060606,0.015154932424242424,0.16040983939393938,4.587878787878788e-07
promoted_from_lower,eng-championship,M7,MW6,33,11,2.565269696969697,11.469851301471994,33,2.565269696969697,20,0.13489167045454542,5.7220249718342915,6.485999906969697,12.11786082312954,0.42424242424242425,16.515151515151516,0.8787878787878788,31.303030303030305,0.9090909090909091,39.93939393939394,0.9696969696969697,47.18181818181818,0.5151515151515151,8.848484848484848,0.9090909090909091,15.212121212121213,0.9393939393939394,17.818181818181817,1.0,19.575757575757574,0.02389551303030303,0.038096177878787885,0.02494614303030303,0.1694882403030303,0.0010242461363636365
promoted_from_lower,eng-championship,M7,preseason,33,11,3.794587878787877,13.67202148490253,33,3.794587878787877,24,0.15577099221673255,6.780255273342393,7.476185796969694,15.434068764587733,0.7272727272727273,21.303030303030305,0.8787878787878788,40.09090909090909,0.9090909090909091,50.96969696969697,0.9393939393939394,60.121212121212125,0.696969696969697,11.636363636363637,0.9393939393939394,18.363636363636363,0.9393939393939394,20.484848484848484,0.9696969696969697,21.606060606060606,0.03682430272727273,0.037629603030303035,0.041389237272727274,0.1872002736363636,0.00351791393939394
relegated_from_pl,eng-championship,M2,MW12,33,11,-0.640860606060605,13.144342357766776,33,-0.640860606060605,14,0.126324370342556,3.0766658385150505,8.057976476969698,7.356698107455241,0.2727272727272727,9.969696969696969,0.5454545454545454,18.818181818181817,0.6666666666666666,24.21212121212121,0.696969696969697,28.696969696969695,0.42424242424242425,4.181818181818182,0.696969696969697,7.666666666666667,0.7878787878787878,9.515151515151516,0.8787878787878788,11.272727272727273,0.17903124303030302,0.21367366969696971,0.21588321545454545,0.07138589696969698,0.11458717939393939
relegated_from_pl,eng-championship,M2,MW19,33,11,0.3468909090909096,9.575492887100333,33,0.3468909090909096,18,0.09234843114953886,2.5255390125115444,5.579476919393939,6.555118725364941,0.42424242424242425,8.878787878787879,0.6363636363636364,16.727272727272727,0.7272727272727273,21.636363636363637,0.7878787878787878,25.454545454545453,0.6363636363636364,3.272727272727273,0.7575757575757576,6.151515151515151,0.8484848484848485,8.030303030303031,0.8787878787878788,9.393939393939394,0.1280503006060606,0.22258418272727273,0.15945011272727272,0.06501590757575758,0.07594352484848485
relegated_from_pl,eng-championship,M2,MW30,33,11,-0.10060909090909166,6.012510389054215,33,-0.10060909090909166,17,0.05307993399538868,1.9524107683358463,3.4398873778787857,4.949232224673201,0.45454545454545453,6.757575757575758,0.7878787878787878,12.848484848484848,0.8181818181818182,16.363636363636363,0.9090909090909091,19.242424242424242,0.6666666666666666,2.696969696969697,0.8484848484848485,4.9393939393939394,0.9090909090909091,6.242424242424242,0.9696969696969697,7.121212121212121,0.09360569636363637,0.19102941575757576,0.07215843030303029,0.037946710303030304,0.048369247272727275
relegated_from_pl,eng-championship,M2,MW6,33,11,-1.0992575757575773,14.891388630132395,33,-1.0992575757575773,13,0.14877546846179185,3.326354627629713,9.064962412424244,7.996278764529083,0.2727272727272727,10.818181818181818,0.48484848484848486,20.484848484848484,0.6363636363636364,26.303030303030305,0.696969696969697,31.303030303030305,0.42424242424242425,4.363636363636363,0.7272727272727273,8.181818181818182,0.7575757575757576,10.272727272727273,0.8484848484848485,12.212121212121213,0.16294403606060606,0.22561978090909093,0.21632215181818182,0.0925221918181818,0.14397816909090908
relegated_from_pl,eng-championship,M2,preseason,33,11,-2.3394545454545455,19.73731611538884,33,-2.3394545454545455,16,0.20619596798418974,4.204982825654324,12.93646450727273,8.623152230585637,0.21212121212121213,11.727272727272727,0.3333333333333333,22.09090909090909,0.45454545454545453,28.333333333333332,0.5757575757575758,33.696969696969695,0.30303030303030304,5.7272727272727275,0.5454545454545454,10.575757575757576,0.6363636363636364,13.303030303030303,0.7272727272727273,15.212121212121213,0.2801733212121212,0.22098743727272727,0.3401144442424243,0.08821336636363637,0.20901520424242426
relegated_from_pl,eng-championship,M7,MW12,33,11,-2.0687272727272723,12.999111369325261,33,-2.0687272727272723,14,0.12064815930171278,4.33443110958224,7.700974324242427,10.067862085973157,0.3939393939393939,13.757575757575758,0.6363636363636364,26.12121212121212,0.7272727272727273,33.15151515151515,0.9090909090909091,39.121212121212125,0.48484848484848486,6.03030303030303,0.8181818181818182,10.848484848484848,0.9090909090909091,13.454545454545455,0.9696969696969697,15.515151515151516,0.1590132609090909,0.21953095303030304,0.20445546515151516,0.06661244727272726,0.1107415293939394
relegated_from_pl,eng-championship,M7,MW19,33,11,-0.8492545454545437,9.63061550709271,33,-0.8492545454545437,14,0.08786533302700922,3.3689495125916915,5.498379017575757,8.263571623793352,0.48484848484848486,11.393939393939394,0.7272727272727273,21.333333333333332,0.8787878787878788,27.181818181818183,0.9090909090909091,32.18181818181818,0.6666666666666666,4.575757575757576,0.8484848484848485,8.242424242424242,0.9696969696969697,10.666666666666666,0.9696969696969697,12.454545454545455,0.12284293909090908,0.2076416025,0.15649395090909088,0.06279123545454544,0.07825563242424242
relegated_from_pl,eng-championship,M7,MW30,33,11,-0.6568212121212113,6.009602690215254,33,-0.6568212121212113,18,0.05252236475955205,2.2219989780820244,3.3960640687878794,5.605269602491299,0.5151515151515151,7.787878787878788,0.8181818181818182,14.393939393939394,0.8484848484848485,18.242424242424242,0.9090909090909091,21.818181818181817,0.7272727272727273,2.9393939393939394,0.9090909090909091,5.636363636363637,0.9393939393939394,6.96969696969697,0.9696969696969697,8.06060606060606,0.09281046424242426,0.18941783878787877,0.07871921393939395,0.039122736666666665,0.043806515151515145
relegated_from_pl,eng-championship,M7,MW6,33,11,-2.5451727272727274,14.480098886057375,33,-2.5451727272727274,11,0.13693377772397897,5.1810259184187535,8.541753399090908,12.060355902147531,0.30303030303030304,16.484848484848484,0.7272727272727273,31.303030303030305,0.8484848484848485,39.75757575757576,0.9090909090909091,46.96969696969697,0.48484848484848486,7.181818181818182,0.8484848484848485,13.272727272727273,0.9696969696969697,16.12121212121212,0.9696969696969697,18.151515151515152,0.16392992575757573,0.23325251000000002,0.2115162593939394,0.08047196636363638,0.1375433081818182
