competition_id,model_id,origin,club_seasons,seasons,points_bias,points_rmse,promoted_club_seasons,promoted_points_bias,promoted_overpredicted,rank_rps,rank_sd,points_crps,points_sd,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,rank_coverage_50,rank_width_50,rank_coverage_80,rank_width_80,rank_coverage_90,rank_width_90,rank_coverage_95,rank_width_95,automatic_promotion_brier,playoff_qualification_brier,promotion_brier,relegation_brier,title_brier
eng-championship,M2,MW12,264,11,0.2420787878787878,10.909146896766368,66,-0.0029696969696966155,31,0.1237776107394598,3.900407108734929,6.307751629393939,7.329381508176041,0.36742424242424243,9.905303030303031,0.6628787878787878,18.856060606060606,0.7689393939393939,24.083333333333332,0.8295454545454546,28.65530303030303,0.4696969696969697,5.511363636363637,0.7348484848484849,10.06060606060606,0.8636363636363636,12.518939393939394,0.9242424242424242,14.424242424242424,0.04502948265151514,0.12949538492424245,0.0717020656060606,0.09168153075757576,0.029631798560606062
eng-championship,M2,MW19,264,11,0.21456250000000032,8.774995645166408,66,-0.14889393939393905,34,0.09931022534173255,3.313018398358857,5.000114652159091,6.527936470531397,0.42803030303030304,8.833333333333334,0.6931818181818182,16.738636363636363,0.8068181818181818,21.49621212121212,0.8787878787878788,25.492424242424242,0.5189393939393939,4.583333333333333,0.7878787878787878,8.473484848484848,0.9015151515151515,10.674242424242424,0.928030303030303,12.291666666666666,0.029509306136363635,0.12167127681818182,0.05921083431818182,0.07073062992424244,0.020801922196969694
eng-championship,M2,MW30,264,11,0.2493090909090907,5.9390592029046205,66,-0.6355893939393946,34,0.06334057064640974,2.434556256219983,3.3452383697727273,4.954849160809627,0.5,6.787878787878788,0.7727272727272727,12.806818181818182,0.8484848484848485,16.291666666666668,0.9090909090909091,19.318181818181817,0.5871212121212122,3.257575757575758,0.8446969696969697,6.166666666666667,0.9204545454545454,7.795454545454546,0.9621212121212122,9.166666666666666,0.02717710409090909,0.09479739520833333,0.0449308371969697,0.05765771280303031,0.013671693712121213
eng-championship,M2,MW6,264,11,0.40189696969696914,12.615495214090584,66,0.5564999999999991,31,0.14166460853754942,4.2666500757563925,7.249683930909091,7.973970083935263,0.3787878787878788,10.768939393939394,0.6287878787878788,20.5,0.7424242424242424,26.208333333333332,0.821969696969697,31.181818181818183,0.44696969696969696,6.121212121212121,0.7272727272727273,11.098484848484848,0.8409090909090909,13.678030303030303,0.8939393939393939,15.696969696969697,0.05455391287878788,0.1366916659848485,0.08200919909090909,0.09723917962121212,0.03851687121212122
eng-championship,M2,preseason,264,11,0.4295549242424237,14.368768406232032,66,0.6888106060606054,40,0.16299203296113307,4.945884426050627,8.29145405185606,8.587081414647965,0.3409090909090909,11.640151515151516,0.6363636363636364,22.056818181818183,0.7310606060606061,28.227272727272727,0.7878787878787878,33.60606060606061,0.4431818181818182,7.291666666666667,0.7272727272727273,13.007575757575758,0.8446969696969697,15.81439393939394,0.8977272727272727,17.84090909090909,0.07855515181818182,0.14053275409090907,0.10761631371212121,0.1065419981818182,0.04616396339015151
eng-championship,M7,MW12,264,11,0.3109765151515151,10.727054558038583,66,-0.5333484848484844,32,0.11766484222249672,4.797817465054245,6.064155320909092,9.399774225952203,0.4621212121212121,12.787878787878787,0.7575757575757576,24.25378787878788,0.8674242424242424,30.931818181818183,0.9242424242424242,36.67045454545455,0.5606060606060606,6.984848484848484,0.8636363636363636,12.541666666666666,0.9356060606060606,15.352272727272727,0.9810606060606061,17.314393939393938,0.044318685378787886,0.12721476681818183,0.07068253356060605,0.08578086581439394,0.028389607348484846
eng-championship,M7,MW19,264,11,0.2788295454545455,8.717021431550233,66,-0.5029409090909078,31,0.09661073379693676,3.941496417700543,4.896040199318182,7.911259294626093,0.5037878787878788,10.837121212121213,0.7916666666666666,20.40530303030303,0.8825757575757576,26.015151515151516,0.9318181818181818,30.806818181818183,0.6022727272727273,5.598484848484849,0.8712121212121212,10.117424242424242,0.9507575757575758,12.640151515151516,0.9696969696969697,14.526515151515152,0.029587941742424243,0.11846648448863635,0.0584763478030303,0.06928988303030302,0.020633163712121212
eng-championship,M7,MW30,264,11,0.2779912878787882,5.934578489394196,66,-0.7647196969696967,34,0.06293487445816863,2.7061906945422884,3.3246496710227276,5.518065096405907,0.5227272727272727,7.568181818181818,0.803030303030303,14.212121212121213,0.8825757575757576,18.132575757575758,0.946969696969697,21.473484848484848,0.6363636363636364,3.659090909090909,0.8939393939393939,6.886363636363637,0.9507575757575758,8.68939393939394,0.9810606060606061,10.151515151515152,0.027778293106060607,0.09414929484848485,0.04576313098484849,0.056426127954545456,0.013390903030303028
eng-championship,M7,MW6,264,11,0.5097412878787884,12.40627848078404,66,0.010048484848485006,31,0.13390176428277337,5.374293015032868,6.950884522007575,10.848386968542082,0.45454545454545453,14.765151515151516,0.7803030303030303,27.981060606060606,0.8674242424242424,35.71212121212121,0.9204545454545454,42.265151515151516,0.553030303030303,8.109848484848484,0.8522727272727273,14.219696969696969,0.9393939393939394,17.125,0.9810606060606061,19.071969696969695,0.055487366515151515,0.13295324672348485,0.0822506125,0.09248036598484849,0.035509195890151515
eng-championship,M7,preseason,264,11,0.6188060606060599,13.965790949321542,66,0.28754242424242277,37,0.15007704710144926,5.996258341292176,7.731470908863637,12.579475575510509,0.5378787878787878,17.181818181818183,0.7916666666666666,32.45454545454545,0.875,41.416666666666664,0.9166666666666666,49.05681818181818,0.553030303030303,9.534090909090908,0.8484848484848485,16.189393939393938,0.9507575757575758,18.90909090909091,0.9696969696969697,20.632575757575758,0.0679308437878788,0.13524058446969695,0.09548041386363636,0.09882815159090909,0.03904639431818182
