model_id,origin,metric,difference_vs_M2,season_cluster_ci_low,season_cluster_ci_high,club_seasons,seasons
M7,preseason,rank_rps,-0.003988225732057421,-0.014361358968032301,0.004797554541387548,220,11
M7,preseason,points_crps,-0.15621583418181897,-0.7838849390374997,0.3628826441249991,220,11
M7,preseason,relegation_brier,-0.0009296599772727292,-0.020230794103977275,0.018554596689772718,220,11
M7,preseason,title_brier,-0.0013684590909090915,-0.0072459766255681835,0.003985543353409088,220,11
M7,preseason,top_five_brier,-0.0029820542727272757,-0.015924287954545466,0.011514278674431812,220,11
M7,preseason,top_four_brier,-0.006837082659090912,-0.016333434329545454,0.00424246841931817,220,11
M7,MW6,rank_rps,-0.002960935657894735,-0.01043345393564593,0.003912164223684213,220,11
M7,MW6,points_crps,-0.2031426242727271,-0.6605804411215912,0.19744832739431797,220,11
M7,MW6,relegation_brier,-0.004515939136363638,-0.01907004886988637,0.009011802889204546,220,11
M7,MW6,title_brier,-0.00014733993181818223,-0.006523495414204546,0.0060936325625,220,11
M7,MW6,top_five_brier,-0.006361052636363638,-0.023287111692045455,0.008745762478977268,220,11
M7,MW6,top_four_brier,-0.013379016022727274,-0.024910092504545452,-0.002065327786931818,220,11
M7,MW12,rank_rps,-0.0012466713648325361,-0.007759506023803833,0.004598445567284688,220,11
M7,MW12,points_crps,-0.10827798004545484,-0.5038610268465915,0.24123772504431779,220,11
M7,MW12,relegation_brier,-0.0057629244772727265,-0.01625304077272727,0.004810651053977264,220,11
M7,MW12,title_brier,0.0011512721136363632,-0.0025954456431818173,0.004678459135795453,220,11
M7,MW12,top_five_brier,-0.0007987110681818177,-0.01041230716193182,0.009163720264204542,220,11
M7,MW12,top_four_brier,-0.010863537840909092,-0.019642486042045458,-0.002387032839772735,220,11
M7,MW19,rank_rps,-0.0003298108468899523,-0.0024142171801136395,0.0016034130140550244,220,11
M7,MW19,points_crps,-0.06354603840908933,-0.16968702972727093,0.0362205589181829,220,11
M7,MW19,relegation_brier,0.0033543219545454557,-0.0039739202971590904,0.010994608767045454,220,11
M7,MW19,title_brier,0.002095918363636364,-0.0006703302363636329,0.0055436580562499985,220,11
M7,MW19,top_five_brier,-0.0008139835000000006,-0.009114783774431815,0.00790206785340908,220,11
M7,MW19,top_four_brier,-0.006745107022727279,-0.012217434951136369,-0.0009606252562500059,220,11
M7,MW30,rank_rps,0.00038308166985646024,-0.0005221897471590913,0.0012478788863636383,220,11
M7,MW30,points_crps,-0.026593365272726998,-0.08932781442386316,0.033574627795454205,220,11
M7,MW30,relegation_brier,0.001491195727272724,-0.0007950496755681851,0.003658407130681814,220,11
M7,MW30,title_brier,0.0005274385681818158,-0.00014365504488636496,0.0012968553755681785,220,11
M7,MW30,top_five_brier,0.0022527849545454543,-0.0012421837954545466,0.00590712860340909,220,11
M7,MW30,top_four_brier,-0.0016088595000000026,-0.003479474113636365,5.383269886363555e-05,220,11
