competition_id,model_id,origin,club_seasons,seasons,points_bias,points_rmse,promoted_club_seasons,promoted_points_bias,promoted_overpredicted,rank_rps,rank_sd,points_crps,points_sd,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,rank_coverage_50,rank_width_50,rank_coverage_80,rank_width_80,rank_coverage_90,rank_width_90,rank_coverage_95,rank_width_95,automatic_promotion_brier,playoff_qualification_brier,promotion_brier,relegation_brier,title_brier
eng-championship,M2,MW12,264,11,0.2426450757575762,10.905795174920103,66,0.00036060606060683506,31,0.12380258321969698,3.8947415470791946,6.307911617765153,7.318090452222416,0.36363636363636365,9.920454545454545,0.6628787878787878,18.818181818181817,0.7689393939393939,24.079545454545453,0.821969696969697,28.583333333333332,0.4696969696969697,5.492424242424242,0.7424242424242424,10.056818181818182,0.8636363636363636,12.492424242424242,0.9166666666666666,14.390151515151516,0.0451638115909091,0.13005332979166664,0.07168773462121211,0.09159706386363636,0.029537944318181818
eng-championship,M2,MW19,264,11,0.2160734848484852,8.76201056608308,66,-0.14809242424242408,34,0.09911571177865612,3.3131490969022654,4.990675836515152,6.5318032137188275,0.4393939393939394,8.871212121212121,0.6931818181818182,16.734848484848484,0.8106060606060606,21.46212121212121,0.8787878787878788,25.522727272727273,0.5227272727272727,4.583333333333333,0.7916666666666666,8.481060606060606,0.8977272727272727,10.674242424242424,0.9356060606060606,12.325757575757576,0.029370270227272732,0.12149834886363636,0.059121976893939394,0.0707847612121212,0.02073939356060606
eng-championship,M2,MW30,264,11,0.24885909090909084,5.937958057476365,66,-0.636495454545454,33,0.06336767482295784,2.433857938247651,3.3450052037878786,4.951867051758786,0.49242424242424243,6.765151515151516,0.7727272727272727,12.753787878787879,0.8484848484848485,16.265151515151516,0.9015151515151515,19.28787878787879,0.5909090909090909,3.268939393939394,0.8484848484848485,6.174242424242424,0.928030303030303,7.8106060606060606,0.9621212121212122,9.178030303030303,0.026935020208333334,0.09444075418560605,0.045143815284090914,0.05750132234848485,0.013729611666666667
eng-championship,M2,MW6,264,11,0.40165833333333356,12.61652776087419,66,0.5457772727272732,31,0.14153294982295783,4.26922067590513,7.248998099469697,7.971011251419799,0.375,10.734848484848484,0.6287878787878788,20.439393939393938,0.7424242424242424,26.166666666666668,0.8181818181818182,31.147727272727273,0.4431818181818182,6.117424242424242,0.7310606060606061,11.041666666666666,0.8409090909090909,13.68560606060606,0.8939393939393939,15.681818181818182,0.05473873727272727,0.13620099053030305,0.08203144939393939,0.0972001574431818,0.038466472803030304
eng-championship,M2,preseason,264,11,0.4302651515151514,14.375194068184072,66,0.6924469696969695,40,0.1631768848493083,4.946770606905368,8.29773893810606,8.588034122034399,0.3371212121212121,11.609848484848484,0.6325757575757576,22.03787878787879,0.7310606060606061,28.257575757575758,0.7916666666666666,33.61742424242424,0.44696969696969696,7.291666666666667,0.7310606060606061,13.041666666666666,0.8484848484848485,15.840909090909092,0.8977272727272727,17.829545454545453,0.07858669863636364,0.14027127066287878,0.10751191068181819,0.10658026992424242,0.046064396136363636
eng-championship,M7,MW12,264,11,0.28755946969696955,10.701323667168822,66,-0.7305984848484846,33,0.11631951630517127,4.8920304138395885,6.052528317386364,9.294919054941964,0.45454545454545453,12.609848484848484,0.7613636363636364,23.99621212121212,0.8598484848484849,30.598484848484848,0.9204545454545454,36.23106060606061,0.5643939393939394,7.1856060606060606,0.8939393939393939,12.852272727272727,0.946969696969697,15.643939393939394,0.9886363636363636,17.647727272727273,0.04340184583333333,0.12652144037878787,0.06807823234848485,0.08643580484848483,0.028078000909090906
eng-championship,M7,MW19,264,11,0.26099734848484846,8.722853714913503,66,-0.5672803030303021,32,0.09617910732625164,3.993583135288417,4.901478507992423,7.863345145242746,0.48484848484848486,10.742424242424242,0.7916666666666666,20.25,0.8787878787878788,25.886363636363637,0.9318181818181818,30.625,0.5984848484848485,5.670454545454546,0.8863636363636364,10.287878787878787,0.946969696969697,12.776515151515152,0.9734848484848485,14.715909090909092,0.029111207803030306,0.11760055916666667,0.05696534356060606,0.07032122977272727,0.02031985704545454
eng-championship,M7,MW30,264,11,0.26668371212121195,5.911943587903476,66,-0.7864212121212127,29,0.06247315779726613,2.737039472376795,3.3063581143560614,5.523879599098662,0.5454545454545454,7.590909090909091,0.8068181818181818,14.196969696969697,0.8825757575757576,18.15530303030303,0.9431818181818182,21.511363636363637,0.6477272727272727,3.734848484848485,0.8825757575757576,6.984848484848484,0.9621212121212122,8.81060606060606,0.9886363636363636,10.268939393939394,0.028511377272727276,0.09427178106060606,0.04538768257575758,0.05604470689393939,0.014481083333333334
eng-championship,M7,MW6,264,11,0.4773784090909092,12.320165916227396,66,-0.10245909090909139,35,0.1319065074456522,5.463749394936467,6.8906748704166665,10.599339257354732,0.45075757575757575,14.462121212121213,0.7651515151515151,27.261363636363637,0.8674242424242424,34.90530303030303,0.9166666666666666,41.34848484848485,0.5833333333333334,8.287878787878787,0.8863636363636364,14.537878787878787,0.9431818181818182,17.416666666666668,0.9810606060606061,19.386363636363637,0.05442669732954544,0.1309494636931818,0.07918713668560606,0.09341002287878789,0.03441579689393939
eng-championship,M7,preseason,264,11,0.5870462121212121,13.634157588804802,66,0.06318939393939346,37,0.14597383145174572,6.070766555956973,7.5540189882575755,12.007872513262559,0.5151515151515151,16.375,0.7803030303030303,30.950757575757574,0.8636363636363636,39.48863636363637,0.9128787878787878,46.86363636363637,0.5795454545454546,9.613636363636363,0.8560606060606061,16.41287878787879,0.946969696969697,19.28030303030303,0.9696969696969697,21.071969696969695,0.06455852053030303,0.13341976704545455,0.08997689159090909,0.0983299146401515,0.03684703416666667
