model_id,matches,log_loss,brier,classwise_ece,score_matches,score_nll
M0-frequency-v1,3040,1.0652979847367328,0.644367362771625,0.006066919376332976,0,
M1-league-poisson-v1,3040,1.0650987815556119,0.6440767988578507,0.012783694058611907,3040,3.0660726359677506
M2-attack-defense-v1,3040,0.9717595291342127,0.576883669044388,0.01461865390119214,3040,2.9261481459305716
market:bet365_preclosing,3040,0.9579683139717301,0.5669286669122272,0.016057237918694796,0,
market:betbrain_average_preclosing,1520,0.9446505420396567,0.5584022906051092,0.022287080846092884,0,
market:market_average_closing,1520,0.9669869347287033,0.5730278028761824,0.021028250986027012,0,
market:market_average_preclosing,1520,0.9696439340115576,0.5748035022184126,0.018286984623413726,0,
