model_id,matches,log_loss,brier,classwise_ece,score_matches,score_nll
M2-attack-defense-v1,1140,0.9803941083087306,0.5837779241968212,0.02054677290160915,1140,2.982511410014184
M5-quality-tilt-poisson,1140,0.98249978498552,0.5851556743786454,0.028487412199567935,1140,2.974476801223685
M7-xg-v1,1140,0.9782715204665068,0.5815286762552462,0.035979637505127594,1140,2.9721673810842915
market:market_average_preclosing,1140,0.9650182568267347,0.5740137871177893,0.020366635268079962,0,
market:market_average_closing,1140,0.9597338663264068,0.5698901988984181,0.018088399427608752,0,
