model_id,outcome,bin_lower,bin_upper,count,mean_prediction,observed_frequency
M7-xg-v1,D,0.3,0.4,0,,
M7-xg-v1,D,0.4,0.5,0,,
M7-xg-v1,D,0.5,0.6,0,,
M7-xg-v1,D,0.6,0.7,0,,
M7-xg-v1,D,0.7,0.8,0,,
M7-xg-v1,D,0.8,0.9,0,,
M7-xg-v1,D,0.9,1.0,0,,
M7-xg-v1,A,0.0,0.1,40,0.06802712072372219,0.05
M7-xg-v1,A,0.1,0.2,216,0.15490254031000317,0.125
M7-xg-v1,A,0.2,0.3,280,0.2524902062234466,0.22857142857142856
M7-xg-v1,A,0.3,0.4,246,0.3466738946298001,0.32113821138211385
M7-xg-v1,A,0.4,0.5,183,0.44359202676669834,0.45901639344262296
M7-xg-v1,A,0.5,0.6,121,0.5429791450361777,0.6033057851239669
M7-xg-v1,A,0.6,0.7,40,0.6459699828312161,0.725
M7-xg-v1,A,0.7,0.8,14,0.7375559385982636,0.7857142857142857
M7-xg-v1,A,0.8,0.9,0,,
M7-xg-v1,A,0.9,1.0,0,,
market:market_average_preclosing,H,0.0,0.1,15,0.07550153142674017,0.0
market:market_average_preclosing,H,0.1,0.2,100,0.15479699640037428,0.09
market:market_average_preclosing,H,0.2,0.3,177,0.25176596101215415,0.23163841807909605
market:market_average_preclosing,H,0.3,0.4,219,0.35442124978238226,0.3698630136986301
market:market_average_preclosing,H,0.4,0.5,191,0.449671244459128,0.45549738219895286
market:market_average_preclosing,H,0.5,0.6,184,0.5496557895821562,0.532608695652174
market:market_average_preclosing,H,0.6,0.7,132,0.6513328466347911,0.6287878787878788
market:market_average_preclosing,H,0.7,0.8,87,0.7461012859903785,0.6781609195402298
market:market_average_preclosing,H,0.8,0.9,35,0.8434967618963881,0.9714285714285714
market:market_average_preclosing,H,0.9,1.0,0,,
market:market_average_preclosing,D,0.0,0.1,14,0.08387043007619432,0.0
market:market_average_preclosing,D,0.1,0.2,215,0.16425762117079284,0.19069767441860466
market:market_average_preclosing,D,0.2,0.3,904,0.25145078072996346,0.2610619469026549
market:market_average_preclosing,D,0.3,0.4,7,0.30325642052820806,0.2857142857142857
market:market_average_preclosing,D,0.4,0.5,0,,
market:market_average_preclosing,D,0.5,0.6,0,,
market:market_average_preclosing,D,0.6,0.7,0,,
market:market_average_preclosing,D,0.7,0.8,0,,
market:market_average_preclosing,D,0.8,0.9,0,,
market:market_average_preclosing,D,0.9,1.0,0,,
market:market_average_preclosing,A,0.0,0.1,80,0.06982683695545147,0.0625
market:market_average_preclosing,A,0.1,0.2,242,0.15185944486136108,0.15289256198347106
market:market_average_preclosing,A,0.2,0.3,253,0.2497127932062137,0.25296442687747034
market:market_average_preclosing,A,0.3,0.4,223,0.3501985267628431,0.34977578475336324
market:market_average_preclosing,A,0.4,0.5,148,0.4471574708846383,0.41216216216216217
market:market_average_preclosing,A,0.5,0.6,108,0.5506669499769821,0.5092592592592593
market:market_average_preclosing,A,0.6,0.7,59,0.6478774549885796,0.7796610169491526
market:market_average_preclosing,A,0.7,0.8,21,0.7361829096709857,0.8571428571428571
market:market_average_preclosing,A,0.8,0.9,6,0.8177296690881249,0.8333333333333334
market:market_average_preclosing,A,0.9,1.0,0,,
market:market_average_closing,H,0.0,0.1,18,0.07613956803023164,0.0
market:market_average_closing,H,0.1,0.2,108,0.15916863166337553,0.09259259259259259
market:market_average_closing,H,0.2,0.3,170,0.25434620192508733,0.23529411764705882
market:market_average_closing,H,0.3,0.4,211,0.3496053420748982,0.36018957345971564
market:market_average_closing,H,0.4,0.5,194,0.4479801295187769,0.44329896907216493
market:market_average_closing,H,0.5,0.6,185,0.5497254837650496,0.5621621621621622
market:market_average_closing,H,0.6,0.7,130,0.6506789714908147,0.6153846153846154
market:market_average_closing,H,0.7,0.8,89,0.7482812378854028,0.7078651685393258
market:market_average_closing,H,0.8,0.9,35,0.843086164602285,0.9428571428571428
market:market_average_closing,H,0.9,1.0,0,,
market:market_average_closing,D,0.0,0.1,15,0.08396298162190453,0.0
market:market_average_closing,D,0.1,0.2,210,0.1627289100224702,0.1619047619047619
market:market_average_closing,D,0.2,0.3,886,0.2532718525240083,0.26636568848758463
market:market_average_closing,D,0.3,0.4,29,0.3058161987339879,0.3103448275862069
market:market_average_closing,D,0.4,0.5,0,,
market:market_average_closing,D,0.5,0.6,0,,
market:market_average_closing,D,0.6,0.7,0,,
market:market_average_closing,D,0.7,0.8,0,,
market:market_average_closing,D,0.8,0.9,0,,
market:market_average_closing,D,0.9,1.0,0,,
market:market_average_closing,A,0.0,0.1,88,0.07143838137776529,0.07954545454545454
market:market_average_closing,A,0.1,0.2,243,0.15412259182557325,0.1522633744855967
market:market_average_closing,A,0.2,0.3,245,0.24920590476035936,0.23265306122448978
market:market_average_closing,A,0.3,0.4,215,0.34728127500056316,0.3488372093023256
market:market_average_closing,A,0.4,0.5,160,0.44623662276973325,0.425
market:market_average_closing,A,0.5,0.6,105,0.5526931381954214,0.5523809523809524
market:market_average_closing,A,0.6,0.7,52,0.6435964403304028,0.7307692307692307
market:market_average_closing,A,0.7,0.8,25,0.7363312744107603,0.96
market:market_average_closing,A,0.8,0.9,7,0.8096787421259598,0.7142857142857143
market:market_average_closing,A,0.9,1.0,0,,
