model_id,matches,log_loss,brier,classwise_ece,score_matches,score_nll
M2-attack-defense-v1,760,1.0059120513608164,0.6020886373431499,0.027859883771662673,760,2.9309079184487317
M5-quality-tilt-poisson,760,1.0093737997830365,0.6046009770110821,0.031318735074836436,760,2.9289430219999004
M7-xg-v1,760,1.0004786883219448,0.5977210785590961,0.04035682196397354,760,2.930794673167044
discovery:regularized-multinomial-scout,760,1.0159018851859056,0.6080816830840238,0.04771818888242552,0,
market:market_average_preclosing,760,0.9929022539891607,0.594461670145127,0.029882335150681623,0,
