model_id,training_matches,evaluation_matches,chronological_rho,oracle_evaluation_rho,baseline_log_loss,chronological_delta_log_loss,oracle_delta_log_loss,baseline_score_nll,chronological_delta_score_nll,oracle_delta_score_nll
M2-attack-defense-v1,760,380,-0.017424443702121664,-0.14347051056227247,1.0264932306876464,-0.0007938145014250164,-0.0039796990144651545,2.8935311061795788,-0.0014851710205685542,-0.006490406721658459
M7-xg-v1,760,380,-0.01941720972278721,-0.1310683247464163,1.0291188970319591,-0.0011036303848528384,-0.005414158163907334,2.8954712472771353,-0.0016638912579183263,-0.006048897266663911
