target,predictor,standardized_coefficient,chronological_test_r_squared,training_matches,evaluation_matches
market_minus_structural_home,intercept,-0.016307645467713683,0.06509789091102658,760,380
market_minus_structural_home,expected_total_goals,-0.023718448725059453,0.06509789091102658,760,380
market_minus_structural_home,expected_goal_difference,-0.023474978671343252,0.06509789091102658,760,380
market_minus_structural_home,quality_gap,0.034014507952844664,0.06509789091102658,760,380
market_minus_structural_home,tilt_sum,0.015065588203492195,0.06509789091102658,760,380
market_minus_structural_home,rate_uncertainty,-0.005135634115945597,0.06509789091102658,760,380
market_minus_structural_home,structural_entropy,-0.021412727358273157,0.06509789091102658,760,380
market_minus_structural_draw,intercept,0.019130368514685338,0.15031528486143564,760,380
market_minus_structural_draw,expected_total_goals,0.0035659054258861994,0.15031528486143564,760,380
market_minus_structural_draw,expected_goal_difference,0.006034526877473528,0.15031528486143564,760,380
market_minus_structural_draw,quality_gap,-0.0022825239057114592,0.15031528486143564,760,380
market_minus_structural_draw,tilt_sum,-0.0021562708338956228,0.15031528486143564,760,380
market_minus_structural_draw,rate_uncertainty,0.0045601610204685445,0.15031528486143564,760,380
market_minus_structural_draw,structural_entropy,0.013906337142747608,0.15031528486143564,760,380
market_minus_structural_away,intercept,-0.002822723046971615,0.062145856296645485,760,380
market_minus_structural_away,expected_total_goals,0.020152543299173167,0.062145856296645485,760,380
market_minus_structural_away,expected_goal_difference,0.0174404517938697,0.062145856296645485,760,380
market_minus_structural_away,quality_gap,-0.03173198404713318,0.062145856296645485,760,380
market_minus_structural_away,tilt_sum,-0.012909317369596511,0.062145856296645485,760,380
market_minus_structural_away,rate_uncertainty,0.0005754730954770528,0.062145856296645485,760,380
market_minus_structural_away,structural_entropy,0.007506390215525484,0.062145856296645485,760,380
