model_id,outcome,bin_lower,bin_upper,count,mean_prediction,observed_frequency
M3-elo-ordered-logit-v1,A,0.0,0.1,322,0.06601885256294068,0.10869565217391304
M3-elo-ordered-logit-v1,A,0.1,0.2,546,0.15060363629345624,0.1282051282051282
M3-elo-ordered-logit-v1,A,0.2,0.3,663,0.24971790612692307,0.26998491704374056
M3-elo-ordered-logit-v1,A,0.3,0.4,554,0.346683884028207,0.29422382671480146
M3-elo-ordered-logit-v1,A,0.4,0.5,357,0.4486459801017564,0.4565826330532213
M3-elo-ordered-logit-v1,A,0.5,0.6,257,0.5480988955935873,0.5136186770428015
M3-elo-ordered-logit-v1,A,0.6,0.7,189,0.6451110701946131,0.6349206349206349
M3-elo-ordered-logit-v1,A,0.7,0.8,111,0.7494004012682676,0.6936936936936937
M3-elo-ordered-logit-v1,A,0.8,0.9,40,0.8365817764692898,0.725
M3-elo-ordered-logit-v1,A,0.9,1.0,1,0.9011350504607931,0.0
market:bet365_preclosing,H,0.0,0.1,86,0.08147639023356497,0.06976744186046512
market:bet365_preclosing,H,0.1,0.2,330,0.15442026538423967,0.17575757575757575
market:bet365_preclosing,H,0.2,0.3,379,0.2519585078438943,0.29023746701846964
market:bet365_preclosing,H,0.3,0.4,570,0.3550126754349956,0.34385964912280703
market:bet365_preclosing,H,0.4,0.5,595,0.44990693332740495,0.42857142857142855
market:bet365_preclosing,H,0.5,0.6,394,0.5501665605084167,0.5964467005076142
market:bet365_preclosing,H,0.6,0.7,299,0.651666700238069,0.6822742474916388
market:bet365_preclosing,H,0.7,0.8,251,0.7520552788314354,0.7051792828685259
market:bet365_preclosing,H,0.8,0.9,134,0.8382371688354232,0.8805970149253731
market:bet365_preclosing,H,0.9,1.0,2,0.912844626344574,1.0
market:bet365_preclosing,D,0.0,0.1,45,0.08794569101836998,0.1111111111111111
market:bet365_preclosing,D,0.1,0.2,573,0.16079785629012955,0.16404886561954624
market:bet365_preclosing,D,0.2,0.3,2256,0.26191846898944515,0.2495567375886525
market:bet365_preclosing,D,0.3,0.4,166,0.30735887903884773,0.29518072289156627
market:bet365_preclosing,D,0.4,0.5,0,,
market:bet365_preclosing,D,0.5,0.6,0,,
market:bet365_preclosing,D,0.6,0.7,0,,
market:bet365_preclosing,D,0.7,0.8,0,,
market:bet365_preclosing,D,0.8,0.9,0,,
market:bet365_preclosing,D,0.9,1.0,0,,
market:bet365_preclosing,A,0.0,0.1,340,0.06933044042972378,0.07941176470588235
market:bet365_preclosing,A,0.1,0.2,574,0.15138307710877164,0.15156794425087108
market:bet365_preclosing,A,0.2,0.3,703,0.25389766261095603,0.2574679943100996
market:bet365_preclosing,A,0.3,0.4,570,0.3466333956530046,0.3298245614035088
market:bet365_preclosing,A,0.4,0.5,307,0.4485600709950701,0.4495114006514658
market:bet365_preclosing,A,0.5,0.6,249,0.5489507734893153,0.5421686746987951
market:bet365_preclosing,A,0.6,0.7,186,0.6420025703455844,0.6774193548387096
market:bet365_preclosing,A,0.7,0.8,95,0.7409805736958185,0.7684210526315789
market:bet365_preclosing,A,0.8,0.9,16,0.8260557470643048,0.8125
market:bet365_preclosing,A,0.9,1.0,0,,
market:betbrain_average_preclosing,H,0.0,0.1,39,0.0817123978424592,0.07692307692307693
market:betbrain_average_preclosing,H,0.1,0.2,173,0.15857672913269008,0.15606936416184972
market:betbrain_average_preclosing,H,0.2,0.3,151,0.24835137754830072,0.33774834437086093
market:betbrain_average_preclosing,H,0.3,0.4,292,0.35551142632340915,0.3458904109589041
market:betbrain_average_preclosing,H,0.4,0.5,328,0.4481273835566464,0.43902439024390244
market:betbrain_average_preclosing,H,0.5,0.6,192,0.547314013731594,0.59375
market:betbrain_average_preclosing,H,0.6,0.7,129,0.6489497256719654,0.6744186046511628
market:betbrain_average_preclosing,H,0.7,0.8,154,0.75166588288187,0.7402597402597403
market:betbrain_average_preclosing,H,0.8,0.9,60,0.8335639754730064,0.9166666666666666
market:betbrain_average_preclosing,H,0.9,1.0,2,0.9058483826425159,1.0
market:betbrain_average_preclosing,D,0.0,0.1,15,0.08679982767224394,0.06666666666666667
market:betbrain_average_preclosing,D,0.1,0.2,287,0.16096558075115436,0.14982578397212543
market:betbrain_average_preclosing,D,0.2,0.3,1083,0.26511055815203216,0.2502308402585411
market:betbrain_average_preclosing,D,0.3,0.4,135,0.3070910054304964,0.34074074074074073
market:betbrain_average_preclosing,D,0.4,0.5,0,,
market:betbrain_average_preclosing,D,0.5,0.6,0,,
market:betbrain_average_preclosing,D,0.6,0.7,0,,
market:betbrain_average_preclosing,D,0.7,0.8,0,,
market:betbrain_average_preclosing,D,0.8,0.9,0,,
market:betbrain_average_preclosing,D,0.9,1.0,0,,
market:betbrain_average_preclosing,A,0.0,0.1,187,0.06979928357168644,0.058823529411764705
market:betbrain_average_preclosing,A,0.1,0.2,279,0.1522379724506031,0.14695340501792115
market:betbrain_average_preclosing,A,0.2,0.3,374,0.25396969336066855,0.22994652406417113
market:betbrain_average_preclosing,A,0.3,0.4,292,0.3426084772859791,0.3253424657534247
market:betbrain_average_preclosing,A,0.4,0.5,124,0.4473811921058197,0.4032258064516129
market:betbrain_average_preclosing,A,0.5,0.6,140,0.5560226891828042,0.5928571428571429
market:betbrain_average_preclosing,A,0.6,0.7,72,0.6376534104110048,0.7638888888888888
market:betbrain_average_preclosing,A,0.7,0.8,45,0.7345172568246048,0.7555555555555555
market:betbrain_average_preclosing,A,0.8,0.9,7,0.8278961134129493,0.8571428571428571
market:betbrain_average_preclosing,A,0.9,1.0,0,,
market:market_average_closing,H,0.0,0.1,38,0.08063735498080463,0.02631578947368421
market:market_average_closing,H,0.1,0.2,164,0.15476908692388178,0.17682926829268292
market:market_average_closing,H,0.2,0.3,241,0.2540441981357083,0.2697095435684647
market:market_average_closing,H,0.3,0.4,271,0.3511995868112179,0.3505535055350554
market:market_average_closing,H,0.4,0.5,273,0.4473089387821181,0.40293040293040294
market:market_average_closing,H,0.5,0.6,211,0.5502628458700115,0.6066350710900474
market:market_average_closing,H,0.6,0.7,153,0.6464924379475782,0.6928104575163399
market:market_average_closing,H,0.7,0.8,108,0.7429953455783556,0.7129629629629629
market:market_average_closing,H,0.8,0.9,60,0.840518207975364,0.85
market:market_average_closing,H,0.9,1.0,1,0.9267790744229918,1.0
market:market_average_closing,D,0.0,0.1,21,0.08605426353432875,0.09523809523809523
market:market_average_closing,D,0.1,0.2,270,0.16204714724279404,0.15925925925925927
market:market_average_closing,D,0.2,0.3,1119,0.26007707096811766,0.2484361036639857
market:market_average_closing,D,0.3,0.4,110,0.3075690182405028,0.24545454545454545
