market_subset,model_id,matches,log_loss,brier,classwise_ece,score_matches,score_nll
market:bet365_preclosing,M0-frequency-v1,3040,1.0652979847367328,0.644367362771625,0.006066919376332976,0,
market:bet365_preclosing,M2-attack-defense-v1,3040,0.9717595291342127,0.576883669044388,0.01461865390119214,3040,2.9261481459305716
market:bet365_preclosing,M3-elo-ordered-logit-v1,3040,0.9775791652029631,0.5800888361016937,0.024735921674324323,0,
market:bet365_preclosing,market:bet365_preclosing,3040,0.9579683139717301,0.5669286669122272,0.016057237918694796,0,
market:betbrain_average_preclosing,M0-frequency-v1,1520,1.0617475956681444,0.6414069871783661,0.013060698231932302,0,
market:betbrain_average_preclosing,M2-attack-defense-v1,1520,0.9585947015492267,0.568132931321992,0.021902614536838533,1520,2.9049172000441548
market:betbrain_average_preclosing,M3-elo-ordered-logit-v1,1520,0.9641487368342609,0.5707340645368925,0.02503967678260736,0,
market:betbrain_average_preclosing,market:betbrain_average_preclosing,1520,0.9446505420396567,0.5584022906051092,0.022287080846092884,0,
market:market_average_closing,M0-frequency-v1,1520,1.0688483738053212,0.647327738364884,0.005700605817470703,0,
market:market_average_closing,M2-attack-defense-v1,1520,0.9849243567191988,0.585634406766784,0.01447489843048898,1520,2.947379091816989
market:market_average_closing,M3-elo-ordered-logit-v1,1520,0.9910095935716654,0.5894436076664951,0.029661248162306524,0,
market:market_average_closing,market:market_average_closing,1520,0.9669869347287033,0.5730278028761824,0.021028250986027012,0,
market:market_average_preclosing,M0-frequency-v1,1520,1.0688483738053212,0.647327738364884,0.005700605817470703,0,
market:market_average_preclosing,M2-attack-defense-v1,1520,0.9849243567191988,0.585634406766784,0.01447489843048898,1520,2.947379091816989
market:market_average_preclosing,M3-elo-ordered-logit-v1,1520,0.9910095935716654,0.5894436076664951,0.029661248162306524,0,
market:market_average_preclosing,market:market_average_preclosing,1520,0.9696439340115576,0.5748035022184126,0.018286984623413726,0,
