model_id,season_id,matches,log_loss,brier,classwise_ece,score_matches,score_nll
M0-frequency-v1,2015-2016,380,1.0900358462452702,0.6604711553835826,0.0263335558779122,0,
M0-frequency-v1,2016-2017,380,1.0457253481396254,0.6301992629014345,0.035500054120519264,0,
M0-frequency-v1,2017-2018,380,1.0677393333570193,0.6449581716485331,0.008647180123555922,0,
M0-frequency-v1,2018-2019,380,1.0434898549306622,0.6299993587799141,0.039846044678094314,0,
M0-frequency-v1,2019-2020,380,1.0663996931990112,0.6446211724940445,0.021973295020527434,0,
M0-frequency-v1,2020-2021,380,1.080875490689312,0.6576278456683015,0.04905160688146598,0,
M0-frequency-v1,2021-2022,380,1.0712167736126046,0.6487866171473535,0.005278475898159875,0,
M0-frequency-v1,2022-2023,380,1.056901537720357,0.6382753181498365,0.039218841727346354,0,
M2-attack-defense-v1,2015-2016,380,1.0415574288948186,0.6257400029209358,0.04705641178501109,380,2.942602635747774
M2-attack-defense-v1,2016-2017,380,0.9404794437006974,0.5556447673436258,0.048808006100265366,380,2.9233333170669527
M2-attack-defense-v1,2017-2018,380,0.9585758919593994,0.5688343156745029,0.03770453279707585,380,2.860282243988231
M2-attack-defense-v1,2018-2019,380,0.8937660416419912,0.5223126393489037,0.05071089166917976,380,2.893450603373663
M2-attack-defense-v1,2019-2020,380,0.9747777065063016,0.5791570651514537,0.0341225502804806,380,2.8620007358164146
M2-attack-defense-v1,2020-2021,380,1.0148869666835405,0.6044088918740159,0.051187141167202674,380,2.9902691199423796
M2-attack-defense-v1,2021-2022,380,0.954114822349993,0.5648469343518736,0.04331115703058781,380,2.9124395546661077
M2-attack-defense-v1,2022-2023,380,0.9959179313369595,0.594124735689793,0.04724029713024673,380,3.024806956843055
M3-elo-ordered-logit-v1,2015-2016,380,1.0420574363763115,0.625387784123564,0.05741941577694669,0,
M3-elo-ordered-logit-v1,2016-2017,380,0.9348098682331681,0.5500866747105343,0.04538810981643493,0,
M3-elo-ordered-logit-v1,2017-2018,380,0.9701760427329038,0.5749995147923478,0.04395465402854201,0,
M3-elo-ordered-logit-v1,2018-2019,380,0.9095515999946602,0.5324622845211237,0.03502814416981683,0,
M3-elo-ordered-logit-v1,2019-2020,380,0.9853214594355759,0.5865731637408157,0.05353936436503143,0,
M3-elo-ordered-logit-v1,2020-2021,380,1.0332294138539238,0.6154356757473495,0.05786935375424571,0,
M3-elo-ordered-logit-v1,2021-2022,380,0.9572024925046672,0.5677372288280026,0.03659809996945065,0,
M3-elo-ordered-logit-v1,2022-2023,380,0.9882850084924946,0.5880283623498127,0.053398449463259376,0,
market:bet365_preclosing,2015-2016,380,1.0352389356424196,0.6203956167898063,0.04521678597131285,0,
market:bet365_preclosing,2016-2017,380,0.9065197975628163,0.5322204965782524,0.054395270446321066,0,
market:bet365_preclosing,2017-2018,380,0.945462931368537,0.5599503259342149,0.034262087987917134,0,
market:bet365_preclosing,2018-2019,380,0.8929010772547757,0.5221065563722176,0.04815705454077571,0,
market:bet365_preclosing,2019-2020,380,0.9732089102123394,0.5750172301971415,0.03387940734896309,0,
market:bet365_preclosing,2020-2021,380,1.0070132279723896,0.5982478644977783,0.056296785086333886,0,
market:bet365_preclosing,2021-2022,380,0.9372433613219306,0.5539927183150092,0.03065038841993587,0,
market:bet365_preclosing,2022-2023,380,0.9661582704386319,0.573498526613398,0.05682177212793027,0,
market:betbrain_average_preclosing,2015-2016,380,1.0320514275725639,0.618643408242379,0.03824098950754123,0,
market:betbrain_average_preclosing,2016-2017,380,0.9085939089010687,0.5333530675111079,0.05903004703968538,0,
market:betbrain_average_preclosing,2017-2018,380,0.9443935642903756,0.5592653355072505,0.033758736370042314,0,
market:betbrain_average_preclosing,2018-2019,380,0.8935632673946184,0.5223473511596992,0.047225525453366564,0,
market:market_average_closing,2019-2020,380,0.9730968486617192,0.5749957746799739,0.039351268912091314,0,
market:market_average_closing,2020-2021,380,0.9961137225252308,0.5917998795843732,0.05996589129060233,0,
market:market_average_closing,2021-2022,380,0.9366979848535221,0.5541246128789752,0.03395279904049598,0,
market:market_average_closing,2022-2023,380,0.9620391828743412,0.5711909443614072,0.04779705085240544,0,
market:market_average_preclosing,2019-2020,380,0.972590468932399,0.5750337075467312,0.03902468847348214,0,
market:market_average_preclosing,2020-2021,380,1.0042126936570532,0.5968203053694807,0.05970365714482043,0,
market:market_average_preclosing,2021-2022,380,0.9359714254015704,0.5536859603003608,0.03597677423413321,0,
market:market_average_preclosing,2022-2023,380,0.9658011480552077,0.5736740356570778,0.05250793683743997,0,
