season_id,model_id,origin,club_seasons,seasons,points_bias,points_rmse,promoted_club_seasons,promoted_points_bias,promoted_overpredicted,trps,points_crps,points_sd,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,title_brier,top_four_brier,relegation_brier
2015-2016,M5,MW12,20,1,0.5942850000000007,8.810606703144796,3,-2.8596333333333326,2,0.07705905986842104,4.950462160499997,7.57272869779425,0.6,10.4,0.7,19.45,0.9,24.9,0.9,29.6,0.06739448025,0.088839688,0.09962164325000002
2015-2016,M5,MW19,20,1,0.3083249999999996,7.140613245548312,3,3.670833333333332,2,0.06742972089473684,4.1146334384999985,6.144111501321186,0.45,8.3,0.8,15.75,0.85,20.2,0.9,24.05,0.05637704675000001,0.02097107574999999,0.07701595325
2015-2016,M5,MW30,20,1,0.30242999999999964,3.3305269625090865,3,2.210799999999999,3,0.029594151802631575,1.939459821000001,3.623582689870684,0.45,5.1,0.9,9.4,1.0,11.95,1.0,14.0,0.00757928675,0.018768494500000003,0.02789506949999999
2015-2016,M5,MW6,20,1,0.5200199999999991,10.895712669073099,3,1.033299999999997,1,0.10443953082894734,6.121262948000001,8.81934139970166,0.6,11.9,0.75,22.85,0.85,29.0,0.9,34.4,0.07427616625000003,0.125943127,0.07739312150000002
2015-2016,M5,preseason,20,1,0.7993650000000005,12.073270238733995,3,-2.458333333333331,1,0.11410017074999998,6.5379139975000005,10.112113500110002,0.65,13.65,0.75,26.0,0.85,33.15,0.85,39.4,0.062196138750000005,0.135419958,0.08968943100000001
2015-2016,M7,MW12,20,1,0.5874849999999974,8.977729244274412,3,-1.8341666666666672,2,0.07860159585526316,5.1582583175,7.184564772678231,0.5,9.8,0.75,18.45,0.85,23.65,0.9,28.0,0.07094339975,0.07568890525000002,0.116582264
2015-2016,M7,MW19,20,1,0.3488650000000007,7.487360571155898,3,4.437833333333335,2,0.07200954485526316,4.423862089500001,5.919292200948811,0.25,8.15,0.65,15.25,0.85,19.45,0.85,23.1,0.06431727024999999,0.023219452750000005,0.08149693774999998
2015-2016,M7,MW30,20,1,0.299594999999999,3.332394704037923,3,2.697566666666667,3,0.029825069065789474,1.9543078194999999,3.5513485107867013,0.45,4.95,0.9,9.15,0.95,11.5,1.0,13.65,0.005486519249999997,0.014624959750000003,0.032999075
2015-2016,M7,MW6,20,1,0.5096149999999998,11.18578408215088,3,3.0818999999999996,2,0.10835911064473684,6.316949452499999,8.473216658955087,0.45,11.35,0.7,21.8,0.85,28.0,0.9,33.25,0.074752802,0.11143568574999999,0.10149712199999998
2015-2016,M7,preseason,20,1,0.8250799999999998,12.437834914968118,3,-2.184733333333329,1,0.12348477521052634,6.843377549000001,9.732659641695214,0.6,13.2,0.75,25.2,0.8,32.05,0.85,38.05,0.06141392025000001,0.1389407455,0.10607924425
2016-2017,M2,MW12,20,1,-0.6010899999999996,8.19045218965351,3,3.928666666666667,1,0.07275346819736843,4.609667727,6.251452928176738,0.55,8.45,0.7,16.1,0.8,20.55,0.8,24.4,0.037721274750000006,0.04819847675000001,0.0740268665
2016-2017,M2,MW19,20,1,-0.18100500000000003,6.154598994126264,3,3.113333333333332,2,0.05560047082894737,3.507879798500002,5.331100453336855,0.55,7.15,0.75,13.7,0.8,17.4,0.9,20.8,0.007110032750000002,0.040695098750000006,0.08057615374999999
2016-2017,M2,MW30,20,1,-0.22746999999999903,3.793315990264982,3,2.7032333333333334,3,0.04345038893421053,2.2120528459999997,3.3805836159705103,0.4,4.65,0.8,8.7,0.95,11.1,0.95,13.15,0.001343372000000003,0.014660546250000007,0.026807367
2016-2017,M2,MW6,20,1,-0.26252499999999834,10.427436588275185,3,4.9562,2,0.0919023827368421,5.750251658500001,6.9869503327914,0.4,9.5,0.7,17.85,0.75,23.1,0.9,27.25,0.07251662575,0.08981985724999998,0.08363788999999999
2016-2017,M2,preseason,20,1,-0.5585850000000019,12.931965801860906,3,7.490500000000002,2,0.1082328417763158,7.624446278500001,7.6628876012575144,0.35,10.25,0.65,19.7,0.65,25.15,0.75,30.05,0.05555805099999998,0.10438146374999999,0.11928882225000004
2016-2017,M4,MW12,20,1,-0.3810499999999994,7.658118991762924,3,2.111466666666665,1,0.06791133018421051,4.312612789999999,7.85960495853155,0.55,10.8,0.8,20.4,0.85,25.9,0.95,30.55,0.03544889925,0.043679394999999996,0.06528152250000001
2016-2017,M4,MW19,20,1,-0.013455000000001327,5.911847734126786,3,2.3101000000000007,2,0.05489008314473683,3.3826020514999966,6.245224005118885,0.55,8.45,0.8,16.0,0.9,20.55,1.0,24.35,0.009203826249999996,0.04046054100000001,0.07730049975
2016-2017,M4,MW30,20,1,-0.18222500000000288,3.8033202833182496,3,2.6972,3,0.04423440519736842,2.1900190085000006,3.6184412372486383,0.5,5.0,0.85,9.5,0.95,11.9,0.95,14.05,0.0018632439999999994,0.012938043250000003,0.03116077999999999
