model_id,origin,event,bin_lower,bin_upper,count,mean_prediction,observed_frequency
M2,MW19,relegation,0.8,0.9,5,0.86982,0.6
M2,MW19,relegation,0.9,1.0,10,0.964535,1.0
M2,MW30,pit,0.0,0.1,37,0.055332011047532895,0.16818181818181818
M2,MW30,pit,0.1,0.2,18,0.15197759993512766,0.08181818181818182
M2,MW30,pit,0.2,0.3,16,0.2428068047220344,0.07272727272727272
M2,MW30,pit,0.3,0.4,20,0.35896164055190605,0.09090909090909091
M2,MW30,pit,0.4,0.5,19,0.4557048605491929,0.08636363636363636
M2,MW30,pit,0.5,0.6,20,0.55218358631048,0.09090909090909091
M2,MW30,pit,0.6,0.7,19,0.6425543511018033,0.08636363636363636
M2,MW30,pit,0.7,0.8,14,0.7488279107354899,0.06363636363636363
M2,MW30,pit,0.8,0.9,28,0.8594738302297513,0.12727272727272726
M2,MW30,pit,0.9,1.0,29,0.9545560617443216,0.1318181818181818
M2,MW30,title,0.0,0.1,202,0.0007250000000000002,0.0
M2,MW30,title,0.1,0.2,2,0.1508,0.0
M2,MW30,title,0.2,0.3,3,0.27775,0.3333333333333333
M2,MW30,title,0.3,0.4,1,0.3191,0.0
M2,MW30,title,0.4,0.5,2,0.436475,0.0
M2,MW30,title,0.5,0.6,1,0.5871,1.0
M2,MW30,title,0.6,0.7,1,0.6809,1.0
M2,MW30,title,0.7,0.8,2,0.716325,1.0
M2,MW30,title,0.8,0.9,1,0.8834,1.0
M2,MW30,title,0.9,1.0,5,0.9885200000000001,1.0
M2,MW30,top_four,0.0,0.1,155,0.002656774193548387,0.0
M2,MW30,top_four,0.1,0.2,6,0.1392,0.0
M2,MW30,top_four,0.2,0.3,6,0.24543333333333336,0.3333333333333333
M2,MW30,top_four,0.3,0.4,6,0.3401166666666667,0.3333333333333333
M2,MW30,top_four,0.4,0.5,6,0.46504166666666663,0.6666666666666666
M2,MW30,top_four,0.5,0.6,5,0.56859,0.4
M2,MW30,top_four,0.6,0.7,2,0.6927,1.0
M2,MW30,top_four,0.7,0.8,3,0.7411333333333333,1.0
M2,MW30,top_four,0.8,0.9,4,0.8234,0.75
M2,MW30,top_four,0.9,1.0,27,0.9890407407407408,0.9629629629629629
M2,MW30,relegation,0.0,0.1,170,0.003963823529411764,0.0
M2,MW30,relegation,0.1,0.2,4,0.1532625,0.25
M2,MW30,relegation,0.2,0.3,9,0.24644444444444444,0.2222222222222222
M2,MW30,relegation,0.3,0.4,3,0.3791166666666667,0.6666666666666666
M2,MW30,relegation,0.4,0.5,2,0.48515,0.5
M2,MW30,relegation,0.5,0.6,5,0.55669,0.4
M2,MW30,relegation,0.6,0.7,2,0.6713,1.0
M2,MW30,relegation,0.7,0.8,5,0.75306,0.6
M2,MW30,relegation,0.8,0.9,1,0.8349000000000001,1.0
M2,MW30,relegation,0.9,1.0,19,0.9821684210526316,1.0
M2,MW6,pit,0.0,0.1,48,0.03490317704353744,0.21818181818181817
M2,MW6,pit,0.1,0.2,16,0.15978553428480097,0.07272727272727272
M2,MW6,pit,0.2,0.3,11,0.25984242651111467,0.05
M2,MW6,pit,0.3,0.4,16,0.3469682764255127,0.07272727272727272
M2,MW6,pit,0.4,0.5,13,0.44678889536582533,0.05909090909090909
M2,MW6,pit,0.5,0.6,15,0.5453072932926312,0.06818181818181818
M2,MW6,pit,0.6,0.7,20,0.6513585343382845,0.09090909090909091
M2,MW6,pit,0.7,0.8,18,0.7353643190354573,0.08181818181818182
M2,MW6,pit,0.8,0.9,28,0.8479382328549606,0.12727272727272726
M2,MW6,pit,0.9,1.0,35,0.9666162170680256,0.1590909090909091
M2,MW6,title,0.0,0.1,195,0.003631282051282051,0.010256410256410256
M2,MW6,title,0.1,0.2,9,0.15167222222222224,0.1111111111111111
M2,MW6,title,0.2,0.3,2,0.26180000000000003,0.0
M2,MW6,title,0.3,0.4,2,0.31995,0.0
M2,MW6,title,0.4,0.5,2,0.4934,0.5
M2,MW6,title,0.5,0.6,2,0.5003500000000001,1.0
M2,MW6,title,0.6,0.7,4,0.6406625,0.5
M2,MW6,title,0.7,0.8,2,0.7666,1.0
M2,MW6,title,0.8,0.9,2,0.84,0.5
M2,MW6,title,0.9,1.0,0,,
M2,MW6,top_four,0.0,0.1,143,0.010912937062937063,0.027972027972027972
M2,MW6,top_four,0.1,0.2,13,0.1343076923076923,0.15384615384615385
M2,MW6,top_four,0.2,0.3,15,0.24691000000000002,0.4
M2,MW6,top_four,0.3,0.4,6,0.33427500000000004,0.5
M2,MW6,top_four,0.4,0.5,5,0.45854,0.2
M2,MW6,top_four,0.5,0.6,3,0.5489499999999999,0.6666666666666666
M2,MW6,top_four,0.6,0.7,2,0.6731,1.0
M2,MW6,top_four,0.7,0.8,8,0.747875,0.375
M2,MW6,top_four,0.8,0.9,4,0.832225,0.5
M2,MW6,top_four,0.9,1.0,21,0.9707857142857141,0.9047619047619048
M2,MW6,relegation,0.0,0.1,142,0.015858098591549297,0.014084507042253521
M2,MW6,relegation,0.1,0.2,29,0.15200000000000005,0.1724137931034483
M2,MW6,relegation,0.2,0.3,8,0.25345625,0.625
M2,MW6,relegation,0.3,0.4,8,0.33771875,0.125
M2,MW6,relegation,0.4,0.5,11,0.44725909090909083,0.36363636363636365
M2,MW6,relegation,0.5,0.6,5,0.5305099999999999,0.8
M2,MW6,relegation,0.6,0.7,3,0.6720666666666667,0.6666666666666666
M2,MW6,relegation,0.7,0.8,5,0.7620100000000001,0.4
M2,MW6,relegation,0.8,0.9,3,0.8351333333333333,1.0
M2,MW6,relegation,0.9,1.0,6,0.9511166666666666,0.8333333333333334
M2,preseason,pit,0.0,0.1,42,0.02644950983030321,0.19090909090909092
M2,preseason,pit,0.1,0.2,17,0.14469350210163617,0.07727272727272727
M2,preseason,pit,0.2,0.3,21,0.24654526186212658,0.09545454545454546
M2,preseason,pit,0.3,0.4,16,0.35296849648903966,0.07272727272727272
M2,preseason,pit,0.4,0.5,13,0.45305488835276797,0.05909090909090909
M2,preseason,pit,0.5,0.6,17,0.5415633939588832,0.07727272727272727
M2,preseason,pit,0.6,0.7,16,0.6450455281436008,0.07272727272727272
M2,preseason,pit,0.7,0.8,14,0.7518140815968841,0.06363636363636363
M2,preseason,pit,0.8,0.9,22,0.849016700282164,0.1
M2,preseason,pit,0.9,1.0,42,0.9661840868338322,0.19090909090909092
M2,preseason,title,0.0,0.1,195,0.005839230769230769,0.015384615384615385
M2,preseason,title,0.1,0.2,5,0.14675,0.0
M2,preseason,title,0.2,0.3,8,0.242925,0.25
M2,preseason,title,0.3,0.4,2,0.34904999999999997,0.5
M2,preseason,title,0.4,0.5,2,0.438925,0.0
M2,preseason,title,0.5,0.6,1,0.5106,0.0
M2,preseason,title,0.6,0.7,3,0.66595,0.3333333333333333
M2,preseason,title,0.7,0.8,3,0.7551333333333333,1.0
M2,preseason,title,0.8,0.9,1,0.8344,1.0
M2,preseason,title,0.9,1.0,0,,
M2,preseason,top_four,0.0,0.1,143,0.014005244755244754,0.03496503496503497
M2,preseason,top_four,0.1,0.2,13,0.1481346153846154,0.23076923076923078
M2,preseason,top_four,0.2,0.3,10,0.255685,0.3
M2,preseason,top_four,0.3,0.4,10,0.35868500000000003,0.5
M2,preseason,top_four,0.4,0.5,7,0.43596428571428575,0.5714285714285714
M2,preseason,top_four,0.5,0.6,3,0.5448000000000001,0.0
M2,preseason,top_four,0.6,0.7,4,0.62335,0.25
M2,preseason,top_four,0.7,0.8,8,0.74560625,0.5
M2,preseason,top_four,0.8,0.9,6,0.8750666666666668,0.6666666666666666
M2,preseason,top_four,0.9,1.0,16,0.9708125000000001,0.9375
M2,preseason,relegation,0.0,0.1,131,0.025654198473282444,0.03816793893129771
M2,preseason,relegation,0.1,0.2,28,0.14112321428571428,0.14285714285714285
M2,preseason,relegation,0.2,0.3,15,0.24516,0.26666666666666666
M2,preseason,relegation,0.3,0.4,17,0.3492882352941177,0.47058823529411764
M2,preseason,relegation,0.4,0.5,15,0.437,0.26666666666666666
M2,preseason,relegation,0.5,0.6,4,0.5574625,0.25
M2,preseason,relegation,0.6,0.7,5,0.65505,0.4
M2,preseason,relegation,0.7,0.8,3,0.7331833333333334,1.0
M2,preseason,relegation,0.8,0.9,1,0.8571,1.0
M2,preseason,relegation,0.9,1.0,1,0.9558,1.0
M4,MW12,pit,0.0,0.1,28,0.049497313990866564,0.12727272727272726
M4,MW12,pit,0.1,0.2,21,0.14338584561111706,0.09545454545454546
M4,MW12,pit,0.2,0.3,13,0.2418416708363697,0.05909090909090909
M4,MW12,pit,0.3,0.4,22,0.3431085814935685,0.1
M4,MW12,pit,0.4,0.5,27,0.4578779308689938,0.12272727272727273
M4,MW12,pit,0.5,0.6,24,0.5573729373465154,0.10909090909090909
M4,MW12,pit,0.6,0.7,21,0.6501178607964823,0.09545454545454546
M4,MW12,pit,0.7,0.8,22,0.7427193769144026,0.1
M4,MW12,pit,0.8,0.9,18,0.8595518851213009,0.08181818181818182
M4,MW12,pit,0.9,1.0,24,0.9541442532651564,0.10909090909090909
M4,MW12,title,0.0,0.1,193,0.005078756476683937,0.0051813471502590676
M4,MW12,title,0.1,0.2,8,0.14858125,0.0
M4,MW12,title,0.2,0.3,8,0.24738749999999998,0.25
M4,MW12,title,0.3,0.4,1,0.38545,0.0
M4,MW12,title,0.4,0.5,3,0.44483333333333336,0.3333333333333333
M4,MW12,title,0.5,0.6,1,0.5542,1.0
M4,MW12,title,0.6,0.7,2,0.6313,1.0
M4,MW12,title,0.7,0.8,1,0.7855,1.0
