subgroup,model_id,origin,club_seasons,seasons,points_bias,points_rmse,promoted_club_seasons,promoted_points_bias,promoted_overpredicted,trps,points_crps,points_sd,coverage_50,width_50,coverage_80,width_80,coverage_90,width_90,coverage_95,width_95,title_brier,top_four_brier,relegation_brier
promoted,M2,MW12,33,11,1.8249484848484847,7.9981820358810864,33,1.8249484848484847,20,0.06412130905103668,4.594433151818182,5.878398126158954,0.45454545454545453,7.9393939393939394,0.6363636363636364,15.030303030303031,0.7575757575757576,19.363636363636363,0.7575757575757576,23.0,7.575757575757576e-09,0.00036554575757575766,0.17159374219696974
promoted,M2,MW19,33,11,1.836030303030303,6.108330974938567,33,1.836030303030303,21,0.052203361024720896,3.5158003636363633,5.045005049290023,0.45454545454545453,6.848484848484849,0.7272727272727273,12.969696969696969,0.8484848484848485,16.545454545454547,0.8787878787878788,19.666666666666668,4.363636363636363e-08,0.0004427925,0.1084875034090909
promoted,M2,MW30,33,11,0.7591909090909092,3.4657542494929996,33,0.7591909090909092,21,0.03204110140749602,1.9769302796969699,3.2126060341370115,0.45454545454545453,4.303030303030303,0.7878787878787878,8.272727272727273,0.9090909090909091,10.575757575757576,0.9696969696969697,12.454545454545455,0.0,3.6672727272727267e-06,0.05865943113636364
promoted,M2,MW6,33,11,4.45430303030303,9.555804004674728,33,4.45430303030303,23,0.07976882041866028,5.57372201030303,6.650698641245557,0.36363636363636365,8.93939393939394,0.6666666666666666,17.21212121212121,0.7878787878787878,21.818181818181817,0.7878787878787878,25.939393939393938,4.527272727272727e-07,0.003429227045454545,0.20381563825757576
promoted,M2,preseason,33,11,6.905975757575758,13.374394886725177,33,6.905975757575758,24,0.12380840903508772,8.378803421818182,7.419587037952265,0.24242424242424243,9.969696969696969,0.45454545454545453,19.060606060606062,0.6060606060606061,24.303030303030305,0.6666666666666666,28.90909090909091,1.8181818181818178e-08,6.264128787878786e-05,0.27143786333333336
promoted,M4,MW12,33,11,0.8023090909090915,7.927196037233296,33,0.8023090909090915,18,0.06854253568181819,4.543691072727272,7.339032917158063,0.5454545454545454,9.93939393939394,0.696969696969697,19.0,0.9090909090909091,24.03030303030303,0.9393939393939394,28.424242424242426,9.090909090909092e-10,1.2344242424242424e-05,0.14101971393939394
promoted,M4,MW19,33,11,1.2769333333333335,6.118719920741989,33,1.2769333333333335,19,0.05702867087320574,3.5018081103030294,5.872529611574536,0.48484848484848486,8.030303030303031,0.7575757575757576,15.090909090909092,0.9090909090909091,19.303030303030305,1.0,22.848484848484848,6.818181818181819e-08,0.00012761363636363632,0.10573505037878786
promoted,M4,MW30,33,11,0.7674090909090903,3.7627522432309295,33,0.7674090909090903,20,0.03476448137559809,2.139200606363637,3.46637500042435,0.5454545454545454,4.848484848484849,0.8181818181818182,8.969696969696969,0.9090909090909091,11.515151515151516,0.9393939393939394,13.393939393939394,0.0,5.360909090909091e-06,0.057263257196969695
promoted,M4,MW6,33,11,1.7276030303030303,8.784570142343766,33,1.7276030303030303,18,0.08038382982057415,5.0218237542424236,8.713620854695165,0.45454545454545453,11.878787878787879,0.7575757575757576,22.393939393939394,0.8787878787878788,28.636363636363637,0.9696969696969697,33.96969696969697,2.1515151515151515e-08,8.08280303030303e-05,0.17784114219696973
promoted,M4,preseason,33,11,1.2776121212121208,12.0902727520929,33,1.2776121212121208,18,0.11122297837320574,7.080299428484849,10.185361653248094,0.45454545454545453,13.878787878787879,0.6363636363636364,26.303030303030305,0.8484848484848485,33.484848484848484,0.9090909090909091,39.60606060606061,5.033333333333334e-07,7.100545454545455e-05,0.25246934363636364
promoted,M5,MW12,33,11,1.2645606060606054,8.207541433321976,33,1.2645606060606054,19,0.06976478801435407,4.739380957878787,7.269171307166269,0.5454545454545454,9.848484848484848,0.696969696969697,18.727272727272727,0.8484848484848485,23.818181818181817,0.9393939393939394,28.393939393939394,3.0303030303030305e-10,1.5549393939393936e-05,0.14592969575757575
promoted,M5,MW19,33,11,1.4675060606060606,6.228338581301865,33,1.4675060606060606,19,0.056257415653907496,3.5828866942424256,5.8269828474924426,0.48484848484848486,8.0,0.7272727272727273,15.030303030303031,0.9090909090909091,19.151515151515152,1.0,22.727272727272727,1.9393939393939395e-08,6.657431818181819e-05,0.10728031803030302
promoted,M5,MW30,33,11,0.7674939393939394,3.8359227666649103,33,0.7674939393939394,21,0.034656437468102076,2.1810460918181818,3.4369098548761805,0.5454545454545454,4.787878787878788,0.7575757575757576,8.848484848484848,0.9090909090909091,11.393939393939394,0.9393939393939394,13.303030303030303,0.0,5.287878787878787e-06,0.05695065416666667
promoted,M5,MW6,33,11,2.3252333333333333,8.963578795882816,33,2.3252333333333333,17,0.07922033086124403,5.179349991818182,8.672483832484616,0.48484848484848486,11.93939393939394,0.7575757575757576,22.424242424242426,0.9090909090909091,28.484848484848484,0.9393939393939394,33.878787878787875,2.939393939393939e-08,3.560037878787878e-05,0.17483595787878786
promoted,M5,preseason,33,11,2.2724363636363645,12.388714437598585,33,2.2724363636363645,19,0.11384236672248803,7.368151023030305,10.141557655017284,0.36363636363636365,13.848484848484848,0.6060606060606061,26.303030303030305,0.8787878787878788,33.333333333333336,0.9090909090909091,39.666666666666664,1.2e-07,3.33230303030303e-05,0.2574821317424242
