competition_id,season_id,team_id,treatment,transition,memory_age,age_bucket,dimension,target,prior_mean,prior_sd,prior_source,realized,realized_variance,squared_error,log_score
eng-premier-league,2016-2017,burnley,current,eng-championship->eng-premier-league,2.0,recent_returner,attack,entry,-0.20669209889127066,0.1773255405154968,Championship promotion bridge,-0.4775753013030825,0.10551221891769184,0.07337770934887863,0.19277960247394124
eng-premier-league,2016-2017,burnley,current,eng-championship->eng-premier-league,2.0,recent_returner,attack,season,-0.20669209889127066,0.1773255405154968,Championship promotion bridge,-0.24509190150581292,0.022748593904326368,0.0014745448408358067,-0.5250591901814919
eng-premier-league,2016-2017,burnley,current,eng-championship->eng-premier-league,2.0,recent_returner,defense,entry,-0.2413551339981017,0.1734515310632313,Championship promotion bridge,0.06165510617368277,0.07111538381857739,0.0918152056489625,0.2272430856663558
eng-premier-league,2016-2017,burnley,current,eng-championship->eng-premier-league,2.0,recent_returner,defense,season,-0.2413551339981017,0.1734515310632313,Championship promotion bridge,-0.05666251257327373,0.01683937684075646,0.034111364408774825,-0.24719751079433755
eng-premier-league,2016-2017,hull-city,current,eng-championship->eng-premier-league,2.0,recent_returner,attack,entry,-0.20669209889127066,0.1773255405154968,Championship promotion bridge,-0.42945062732513695,0.10605071700594619,0.049621361990021616,0.10730269768437234
eng-premier-league,2016-2017,hull-city,current,eng-championship->eng-premier-league,2.0,recent_returner,attack,season,-0.20669209889127066,0.1773255405154968,Championship promotion bridge,-0.27167781322411133,0.023840229688267107,0.004223143067349573,-0.4904975338192159
eng-premier-league,2016-2017,hull-city,current,eng-championship->eng-premier-league,2.0,recent_returner,defense,entry,-0.2413551339981017,0.1734515310632313,Championship promotion bridge,-0.4728629658559302,0.04250410912933166,0.05359587621151258,-0.02335789032588531
eng-premier-league,2016-2017,hull-city,current,eng-championship->eng-premier-league,2.0,recent_returner,defense,season,-0.2413551339981017,0.1734515310632313,Championship promotion bridge,-0.4219566334665896,0.012109399393535215,0.03261690161026624,-0.27728671583585546
eng-premier-league,2016-2017,middlesbrough,current,eng-championship->eng-premier-league,,no_target_history,attack,entry,-0.20669209889127066,0.1773255405154968,Championship promotion bridge,-0.38499147796496536,0.09629280891773628,0.031790668578065076,0.014486064690769074
eng-premier-league,2016-2017,middlesbrough,current,eng-championship->eng-premier-league,,no_target_history,attack,season,-0.20669209889127066,0.1773255405154968,Championship promotion bridge,-0.5855751074149362,0.030910997762049985,0.14355233414794405,0.6825684213380461
